#########################################################################
# C_MC[t,g]: Annual number of fish captured at the trap (Moulin Cerisel) per category; 1: male 1SW; 2: female 1SW; 3: male MSW; 4: female MSW             
# Cm_MC[t,g]: Annual number of fish marked and released at the trap (Moulin Cerisel) per category; 1: male 1SW; 2: female 1SW; 3: male MSW; 4: female MSW 
#########################################################################
C_MC[,1]	C_MC[,2]	C_MC[,3]	C_MC[,4]	Cm_MC[,1]	Cm_MC[,2]	Cm_MC[,3]	Cm_MC[,4]
102	40	5	21	100	36	5	17
132	66	17	46	123	51	15	38
59	12	30	25	44	8	8	15
14	2	0	0	11	1	0	0
120	31	12	63	108	13	11	53
132	64	18	21	123	52	13	11
6	3	2	4	3	3	0	1
30	13	1	1	30	13	1	1
17	11	1	2	13	8	0	0
71	22	4	3	65	12	4	0
12	18	0	3	8	10	0	1
63	45	0	3	60	41	0	2
40	27	0	3	39	26	0	3
34	21	0	1	23	9	0	1
23	10	0	1	22	8	0	0
93	43	5	13	91	42	5	11
24	27	1	2	24	26	1	2
100	50	4	5	99	50	4	5
53	40	7	9	53	39	7	8
103	60	1	24	103	58	1	24
112	100	6	28	111	100	6	28
58	23	2	5	58	22	2	5
61	41	0	19	61	41	0	19
112	56	1	9	112	56	1	9
12	16	1	3	12	15	1	3
10	3	0	7	10	3	0	7
41	26	0	3	37	24	0	2
47	35	2	20	46	35	2	20
18	4	3	6	18	4	3	6
41	14	4	13	38	13	4	13
11	4	0	4	11	4	0	4
9	7	1	9	9	7	1	9
60	34	1	14	60	34	1	14
11	1	0	2	11	1	0	2
3	2	2	5	3	2	2	5
41	19	3	11	41	19	3	11
55	38	4	7	52	37	4	7 
40	11	3	11	38	10	3	11 
7	2	1	3	7	2	1	3 
3	2	1	2	3	2	1	2 # MAJ 20240227
#END

