#########################################################################
# Cm_R[t,g]: Annual number of mark-recaptured fish per breeding category; 1: male 1SW; 2: female 1SW; 3: male MSW; 4: female MSW             
# Cum_R[t,g]: Annual number of unmark-recaptured fish (Nr-Nrm) per breeding category; 1: male 1SW; 2: female 1SW; 3: male MSW; 4: female MSW 
#########################################################################
Cm_R[,1]	Cm_R[,2]	Cm_R[,3]	Cm_R[,4]	Cum_R[,1]	Cum_R[,2]	Cum_R[,3]	Cum_R[,4]
0	10	0	2	0	9	0	1
2	13	0	6	1	2	0	1
0	5	0	0	0	1	0	2
2	0	0	0	12	7	1	2
2	9	0	1	0	0	0	0
25	11	5	3	0	0	0	0
0	1	0	1	1	12	1	1
11	10	0	1	0	1	0	0
3	1	0	0	1	1	0	2
3	1	0	0	2	0	0	1
0	1	0	0	2	1	1	0
21	15	0	0	8	4	0	0
13	6	0	0	29	31	0	0
7	4	0	0	2	0	0	0
5	1	0	0	15	12	0	5
16	6	1	0	6	6	0	1
1	3	0	0	14	16	1	2
23	5	1	1	2	3	0	0
10	3	1	1	14	22	1	2
52	26	1	9	8	1	0	2
31	30	1	7	20	14	2	9
22	11	1	2	15	7	0	3
18	17	0	7	11	13	0	6
55	20	0	3	3	3	0	4
3	6	0	3	7	10	0	5
2	1	0	2	17	13	1	4
12	8	0	0	104	53	2	2
19	3	1	6	14	20	1	12
6	1	0	1	32	18	1	9
14	1	1	0	49	17	1	8
3	3	0	1	45	29	2	13
4	1	0	5	20	11	2	11
23	18	0	2	55	21	0	3	
#END							
