"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"logit_int_MC[1]";0.257107982113;0.328532662990489;-0.3774;0.04028;0.2519;0.4694;0.9223025;1.00099000211482;30000
"logit_int_MC[2]";-0.314729624610333;0.322359048604672;-0.9497;-0.5269;-0.3142;-0.1008;0.319105;1.00098367571546;30000
"logit_flow_MC[1]";-0.869239774795667;0.337262927127584;-1.545;-1.091;-0.8635;-0.642075;-0.223292500000001;1.00097098948308;30000
"logit_flow_MC[2]";-1.00065367814;0.323269711174497;-1.653;-1.208;-0.9948;-0.7859;-0.3844975;1.00165221431674;2200
"sigmap_eff[1]";1.74292205333333;0.278857970973128;1.285;1.546;1.712;1.906;2.37802499487631;1.00188359757986;1600
"sigmap_eff[2]";1.26187106666667;0.303268210713086;0.7494;1.05;1.235;1.442;1.94302499372961;1.00131629183972;4300
"shape_lambda";3.81405046666667;1.00435385799803;2.164;3.099;3.711;4.408;6.087024997998;1.00096582956221;30000
"rate_lambda";0.0174609461333333;0.00491188931516715;0.00942697499870708;0.01394;0.01698;0.02035;0.02855;1.00100976542509;30000
"s[1]";14.6693303666667;3.1321822252876;9.41194999481972;12.43;14.39;16.56;21.6002499435936;1.00106463710108;15000
"s[2]";8.1237586;1.72418065471411;5.2149749976627;6.902;7.974;9.169;11.9202498978123;1.00108306994444;13000
"s[3]";1.16111345;0.279710887067538;0.709194999312478;0.9612;1.13;1.323;1.801;1.00101524061071;30000
"s[4]";3.41197276666667;0.823619489323671;2.094;2.821;3.308;3.891;5.327;1.00096640664322;30000
"Plambda[1,1]";0.541800786666667;0.0387074533255021;0.466;0.5155;0.5417;0.5681;0.6177;1.00128830785746;4600
"Plambda[1,2]";0.229760696666667;0.0276357402057411;0.178;0.2106;0.229;0.2479;0.2863;1.00099160690791;30000
"Plambda[1,3]";0.060972296;0.015445565479175;0.03471;0.0500174998125531;0.05944;0.07044;0.0951;1.00106518830451;15000
"Plambda[1,4]";0.167466306333333;0.028020275600744;0.1166;0.1477;0.166;0.1854;0.2258;1.0014446109033;3100
"Plambda[2,1]";0.49509353;0.0372412440556756;0.4191;0.471;0.4957;0.5205;0.5657;1.00097913313779;30000
"Plambda[2,2]";0.247902026666667;0.0273803099557279;0.1959;0.2293;0.2473;0.2661;0.3033;1.00112170277507;9600
