"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"logit_int_MC[1]","0.0316601613092","0.342385175783156","-0.6342075","-0.19685","0.0266","0.2551","0.7246025","1.00096387785929","20000"
"logit_int_MC[2]","-0.62349593445","0.339033876575757","-1.277","-0.8514","-0.62585","-0.3982","0.0476114999999981","1.00107155233656","12000"
"logit_flow_MC[1]","-0.591696979843","0.33916522127104","-1.271025","-0.817025","-0.59075","-0.363","0.0721577499999985","1.00096056639341","20000"
"logit_flow_MC[2]","-0.4828646323695","0.311836640233743","-1.106","-0.686025","-0.47845","-0.277675","0.1233","1.00095461061617","20000"
"sigmap_eff[1]","1.9270821","0.260741397295104","1.485","1.743","1.905","2.087","2.508","1.00103817720513","17000"
"sigmap_eff[2]","1.580200345","0.274707419174817","1.11297498904338","1.386","1.554","1.748","2.185","1.00095023240279","20000"
"shape_lambda","4.1265198","1.04688475129409","2.39697499491412","3.385","4.025","4.749","6.493","1.00094845214806","20000"
"rate_lambda","0.0186786123","0.00505846841509602","0.01029","0.01509","0.01813","0.02172","0.02987","1.00095560804432","20000"
"s[1]","16.61164885","3.45325128135273","10.76","14.19","16.28","18.6924994985514","24.36","1.00096294481819","20000"
"s[2]","9.0739913","1.88728856098635","5.88897499793023","7.728","8.892","10.22","13.29","1.00096217740108","20000"
"s[3]","1.322476375","0.318523400740354","0.8034","1.097","1.287","1.5082499378556","2.04204997614172","1.00095034328395","20000"
"s[4]","4.1587532","0.962038039190344","2.57697499526946","3.475","4.061","4.727","6.334","1.00094965023169","20000"
"Plambda[1,1]","0.538499145","0.039219720308692","0.461","0.5124","0.5387","0.5648","0.6157","1.00096676516097","20000"
"Plambda[1,2]","0.22817557","0.0274490570095156","0.1769","0.2092","0.2271","0.2462","0.284202499571264","1.00100755572412","20000"
"Plambda[1,3]","0.0621117995","0.0158981629135571","0.0354197499655851","0.0508374998155768","0.06056","0.07191","0.0980919992052384","1.00095818012654","20000"
"Plambda[1,4]","0.171213872","0.0291954610217895","0.118597498971815","0.1506","0.1695","0.19","0.232302499475504","1.00095253443909","20000"
"Plambda[2,1]","0.499321545","0.0372003266588904","0.424497499712853","0.475","0.5003","0.525","0.5694","1.00094864281787","20000"
"Plambda[2,2]","0.24932725","0.0270613170814284","0.1975","0.2308","0.249","0.2672","0.3035","1.00095799310456","20000"
"Plambda[2,3]","0.127423636","0.0271909592394737","0.08159","0.1081","0.1247","0.1439","0.1878","1.00096578216854","20000"
"Plambda[2,4]","0.1239274155","0.0258025186412833","0.0798284994501225","0.1058","0.1215","0.139524993282379","0.1811","1.00095076817934","20000"
"Plambda[3,1]","0.659055065","0.0595340742738623","0.5338","0.6206","0.662","0.7001","0.7688","1.00094945589783","20000"
"Plambda[3,2]","0.1801173115","0.0371313918726472","0.1137","0.1537","0.1784","0.2039","0.2592","1.00097835941164","20000"
"Plambda[3,3]","0.04572879143","0.0324417177232595","0.00592262453625393","0.0219874995735567","0.03812","0.0614824998475258","0.127502499044611","1.00094846533441","20000"
"Plambda[3,4]","0.1150988752","0.051691564658614","0.0362292496970816","0.0773074998787258","0.1081","0.1443","0.234502499480423","1.00096754766956","20000"
"Plambda[4,1]","0.51260595","0.0680395968310685","0.3795","0.4663","0.5124","0.5596","0.644804999244106","1.00097894597552","20000"
"Plambda[4,2]","0.169117154","0.0456885153161259","0.0906297499865515","0.1365","0.1652","0.1977","0.2683","1.00095015272262","20000"
"Plambda[4,3]","0.0523888638","0.0170031075917004","0.02506","0.0401774997666411","0.05034","0.06239","0.0909902499866066","1.00096483911791","20000"
"Plambda[4,4]","0.265887815","0.054658526349975","0.1684","0.2273","0.2633","0.3011","0.381002499680173","1.0009960557165","20000"
"Plambda[5,1]","0.615674335","0.0344418269227964","0.546597499777004","0.5931","0.6161","0.6392","0.6813","1.00096661407387","20000"
"Plambda[5,2]","0.17723937","0.025975044269247","0.1295","0.1591","0.1762","0.1941","0.231602499473919","1.00112003289033","8800"
"Plambda[5,3]","0.08961044","0.0201497553858231","0.0547697499777452","0.07525","0.0881849998582526","0.1024","0.1325","1.00106768691904","13000"
"Plambda[5,4]","0.1174759695","0.0228806065039319","0.0767189997457417","0.1015","0.1161","0.1317","0.166702499269185","1.00095446897136","20000"
"Plambda[6,1]","0.58630902","0.0416899279460184","0.4991","0.5599","0.5881","0.6148","0.6635","1.00105398273065","14000"
"Plambda[6,2]","0.28848363","0.0316654065965028","0.2279","0.2666","0.288","0.31","0.3513","1.00102344984102","20000"
"Plambda[6,3]","0.0412786904","0.0233008843608981","0.0103397498820574","0.02449","0.0365149996576749","0.05272","0.0994302499877434","1.00115021282984","7400"
"Plambda[6,4]","0.0839285995","0.0366674394471359","0.030619749960189","0.05734","0.0776","0.1037","0.1712","1.00119982353701","6000"
"Plambda[7,1]","0.544829535","0.0798009356439526","0.384597499683058","0.4911","0.5456","0.59972499843687","0.69820249982546","1.00099710771124","20000"
"Plambda[7,2]","0.341520705","0.0719747169066796","0.2101","0.2908","0.3384","0.3884","0.490602499751613","1.00116707974073","6900"
"Plambda[7,3]","0.03787248989","0.0281025715075589","0.00461079983064583","0.0178874994757933","0.03106","0.04999","0.110104995577495","1.00096046011426","20000"
"Plambda[7,4]","0.07577686575","0.0404938020668326","0.0191692494272267","0.04614","0.06842","0.0978624999042056","0.1737","1.00095048142116","20000"
"Plambda[8,1]","0.54013233","0.0625877985425068","0.414297499705782","0.4982","0.541","0.5823","0.6603","1.00097118766615","20000"
"Plambda[8,2]","0.2638114525","0.0502924400923416","0.1715974992895","0.2284","0.2616","0.2967","0.368202499669057","1.0010845397138","11000"
"Plambda[8,3]","0.047644602265","0.0326303950318941","0.00651894999252034","0.02385","0.04052","0.0636149994105781","0.130502499066563","1.00102200302516","20000"
"Plambda[8,4]","0.148411405","0.0549040199874883","0.0614894999207018","0.109","0.141349991156703","0.1804","0.273104998215799","1.00133189120307","3900"
