"annee"	"cap_lf"	"age_riv"	"nb"
1985	144	"1"	1
1985	160	"2"	1
1986	107	"1"	1
1986	108	"1"	1
1986	109	"1"	1
1986	110	"1"	2
1986	111	"1"	1
1986	112	"1"	2
1986	113	"1"	4
1986	114	"1"	8
1986	115	"1"	1
1986	116	"1"	7
1986	117	"1"	3
1986	118	"1"	7
1986	119	"1"	17
1986	120	"1"	10
1986	121	"1"	6
1986	122	"1"	15
1986	123	"1"	13
1986	124	"1"	20
1986	125	"1"	14
1986	126	"1"	23
1986	127	"1"	23
1986	128	"1"	19
1986	129	"1"	28
1986	130	"1"	18
1986	131	"1"	25
1986	132	"1"	24
1986	133	"1"	25
1986	134	"1"	22
1986	135	"1"	18
1986	136	"1"	18
1986	137	"1"	19
1986	138	"1"	18
1986	139	"1"	10
1986	140	"1"	7
1986	141	"1"	12
1986	142	"1"	10
1986	143	"1"	10
1986	144	"1"	4
1986	145	"1"	5
1986	146	"1"	6
1986	147	"1"	2
1986	148	"1"	3
1986	149	"1"	2
1986	150	"1"	1
1986	151	"1"	3
1986	152	"1"	3
1986	154	"1"	2
1986	155	"1"	1
1986	158	"1"	1
1986	146	"2"	1
1986	148	"2"	2
1986	150	"2"	1
1986	158	"2"	1
1986	160	"2"	1
1986	163	"2"	2
1986	165	"2"	1
1986	166	"2"	1
1986	170	"2"	2
1986	173	"2"	1
1986	174	"2"	1
1986	175	"2"	1
1987	93	"1"	1
1987	100	"1"	1
1987	101	"1"	1
1987	102	"1"	1
1987	105	"1"	1
1987	109	"1"	2
1987	111	"1"	1
1987	114	"1"	2
1987	115	"1"	1
1987	116	"1"	4
1987	117	"1"	3
1987	118	"1"	2
1987	119	"1"	7
1987	120	"1"	2
1987	121	"1"	5
1987	122	"1"	5
1987	123	"1"	10
1987	124	"1"	9
1987	125	"1"	6
1987	126	"1"	6
1987	127	"1"	6
1987	128	"1"	7
1987	129	"1"	6
1987	130	"1"	1
1987	131	"1"	7
1987	132	"1"	5
1987	133	"1"	4
1987	134	"1"	3
1987	135	"1"	5
1987	136	"1"	2
1987	137	"1"	3
1987	138	"1"	2
1987	139	"1"	2
1987	140	"1"	3
1987	142	"1"	1
1987	143	"1"	1
1987	145	"1"	1
1987	146	"1"	2
1987	147	"1"	2
1987	148	"1"	1
1987	125	"2"	1
1987	133	"2"	2
1987	134	"2"	1
1987	135	"2"	1
1987	136	"2"	4
1987	138	"2"	2
1987	139	"2"	1
1987	140	"2"	3
1987	141	"2"	1
1987	142	"2"	2
1987	143	"2"	1
1987	144	"2"	2
1987	145	"2"	5
1987	146	"2"	6
1987	147	"2"	3
1987	148	"2"	6
1987	149	"2"	5
1987	150	"2"	5
1987	151	"2"	6
1987	152	"2"	7
1987	153	"2"	8
1987	154	"2"	2
1987	155	"2"	6
1987	156	"2"	9
1987	157	"2"	2
1987	159	"2"	4
1987	160	"2"	2
1987	161	"2"	1
1987	162	"2"	7
1987	163	"2"	1
1987	164	"2"	1
1987	165	"2"	4
1987	166	"2"	3
1987	167	"2"	1
1987	168	"2"	4
1987	169	"2"	3
1987	171	"2"	1
1987	173	"2"	1
1987	177	"2"	1
1987	178	"2"	1
1987	179	"2"	1
1987	181	"2"	1
1987	205	"2"	1
1987	145		2
1987	148		1
1987	151		1
1987	152		1
1987	156		1
1987	163		2
1988	103	"1"	1
1988	105	"1"	1
1988	106	"1"	1
1988	108	"1"	2
1988	109	"1"	1
1988	110	"1"	2
1988	112	"1"	1
1988	113	"1"	3
1988	114	"1"	5
1988	115	"1"	2
1988	116	"1"	2
1988	117	"1"	2
1988	118	"1"	6
1988	119	"1"	6
1988	120	"1"	2
1988	121	"1"	10
1988	122	"1"	11
1988	123	"1"	9
1988	124	"1"	11
1988	125	"1"	10
1988	126	"1"	10
1988	127	"1"	8
1988	128	"1"	14
1988	129	"1"	9
1988	130	"1"	3
1988	131	"1"	11
1988	132	"1"	19
1988	133	"1"	18
1988	134	"1"	7
1988	135	"1"	11
1988	136	"1"	11
