annee;taille;NA;1;2;3
1985;92;0;0;0;0
1985;93;0;0;0;0
1985;94;0;0;0;0
1985;95;0;0;0;0
1985;96;0;0;0;0
1985;97;0;0;0;0
1985;98;0;0;0;0
1985;99;0;0;0;0
1985;100;0;0;0;0
1985;101;0;0;0;0
1985;102;0;0;0;0
1985;103;0;0;0;0
1985;104;0;0;0;0
1985;105;0;0;0;0
1985;106;0;0;0;0
1985;107;0;0;0;0
1985;108;0;0;0;0
1985;109;0;0;0;0
1985;110;0;0;0;0
1985;111;0;0;0;0
1985;112;0;1;0;0
1985;113;0;0;0;0
1985;114;0;1;0;0
1985;115;1;4;0;0
1985;116;1;0;0;0
1985;117;0;0;0;0
1985;118;0;2;0;0
1985;119;0;2;0;0
1985;120;0;9;0;0
1985;121;1;3;0;0
1985;122;0;1;0;0
1985;123;0;5;0;0
1985;124;1;7;0;0
1985;125;1;10;0;0
1985;126;0;6;0;0
1985;127;0;4;0;0
1985;128;2;10;0;0
1985;129;3;3;0;0
1985;130;1;9;0;0
1985;131;1;8;1;0
1985;132;1;8;0;0
1985;133;1;10;0;0
1985;134;1;9;0;0
1985;135;2;20;1;0
1985;136;0;3;2;0
1985;137;2;2;2;0
1985;138;1;8;0;0
1985;139;1;10;0;0
1985;140;1;8;7;0
1985;141;1;5;1;0
1985;142;0;2;5;0
1985;143;0;2;4;0
1985;144;0;5;1;0
1985;145;1;6;7;0
1985;146;0;3;2;0
1985;147;0;1;3;0
1985;148;0;2;6;0
1985;149;0;0;2;0
1985;150;0;0;16;0
1985;151;0;1;7;0
1985;152;0;1;9;0
1985;153;0;0;6;0
1985;154;2;0;8;0
1985;155;0;1;10;0
1985;156;0;0;12;0
1985;157;0;0;11;0
1985;158;0;0;7;0
1985;159;0;0;10;0
1985;160;0;0;11;0
1985;161;0;0;4;0
1985;162;0;0;1;0
1985;163;0;0;7;0
1985;164;0;0;4;0
1985;165;0;0;9;0
1985;166;0;0;1;0
1985;167;0;0;2;0
1985;168;0;0;3;0
1985;169;0;0;2;0
1985;170;0;0;4;0
1985;171;0;0;2;0
1985;172;0;0;2;0
1985;173;0;0;0;0
1985;174;0;0;0;0
1985;175;0;0;2;0
1985;176;0;0;2;0
1985;177;0;0;1;0
1985;178;0;0;0;0
1985;179;0;0;0;0
1985;180;0;0;1;0
1985;181;0;0;0;0
1985;182;0;0;1;0
1985;183;0;0;0;0
1985;184;0;0;1;0
1985;185;0;0;1;0
1985;186;0;0;0;0
1985;187;0;0;0;0
1985;188;0;0;0;0
1985;189;0;0;0;0
1985;190;0;0;1;0
1985;191;0;0;0;0
1985;192;0;0;0;0
1985;193;0;0;0;0
1985;194;0;0;0;0
1985;195;0;0;0;0
1985;196;0;0;0;0
1985;197;0;0;0;0
1985;198;0;0;0;0
1985;199;0;0;0;0
1985;200;0;0;0;0
1985;201;0;0;0;0
1985;202;0;0;0;0
1985;203;0;0;0;0
1985;204;0;0;0;0
1985;205;0;0;0;0
1986;92;0;0;0;0
1986;93;0;0;0;0
1986;94;0;0;0;0
1986;95;0;0;0;0
1986;96;0;0;0;0
1986;97;0;0;0;0
1986;98;0;0;0;0
1986;99;0;0;0;0
1986;100;0;0;0;0
1986;101;0;0;0;0
1986;102;0;0;0;0
1986;103;0;0;0;0
1986;104;0;0;0;0
1986;105;0;0;0;0
1986;106;0;0;0;0
1986;107;0;1;0;0
1986;108;0;1;0;0
1986;109;0;1;0;0
1986;110;0;2;0;0
1986;111;0;1;0;0
1986;112;0;2;0;0
1986;113;0;4;0;0
1986;114;0;8;0;0
1986;115;0;1;0;0
1986;116;0;7;0;0
1986;117;0;3;0;0
1986;118;0;7;0;0
1986;119;0;17;0;0
1986;120;0;10;0;0
1986;121;0;6;0;0
1986;122;0;15;0;0
1986;123;0;13;0;0
1986;124;0;20;0;0
1986;125;0;14;0;0
1986;126;0;23;0;0
1986;127;0;23;0;0
1986;128;0;19;0;0
1986;129;0;28;0;0
1986;130;0;18;0;0
1986;131;0;25;0;0
1986;132;0;24;0;0
1986;133;0;25;0;0
1986;134;0;22;0;0
1986;135;0;18;0;0
1986;136;0;18;0;0
1986;137;0;19;0;0
1986;138;0;18;0;0
1986;139;0;10;0;0
1986;140;0;7;0;0
1986;141;0;12;0;0
1986;142;0;10;0;0
1986;143;0;10;0;0
1986;144;0;4;0;0
1986;145;0;5;0;0
1986;146;0;6;1;0
1986;147;0;2;0;0
1986;148;0;3;2;0
1986;149;0;2;0;0
1986;150;0;1;1;0
1986;151;0;3;0;0
1986;152;0;3;0;0
1986;153;0;0;0;0
1986;154;0;2;0;0
1986;155;0;1;0;0
1986;156;0;0;0;0
1986;157;0;0;0;0
1986;158;0;1;1;0
1986;159;0;0;0;0
1986;160;0;0;1;0
1986;161;0;0;0;0
1986;162;0;0;0;0
1986;163;0;0;2;0
1986;164;0;0;0;0
1986;165;0;0;1;0
1986;166;0;0;1;0
1986;167;0;0;0;0
1986;168;0;0;0;0
1986;169;0;0;0;0
1986;170;0;0;2;0
1986;171;0;0;0;0
1986;172;0;0;0;0
1986;173;0;0;1;0
1986;174;0;0;1;0
1986;175;0;0;1;0
1986;176;0;0;0;0
1986;177;0;0;0;0
1986;178;0;0;0;0
1986;179;0;0;0;0
1986;180;0;0;0;0
1986;181;0;0;0;0
1986;182;0;0;0;0
1986;183;0;0;0;0
1986;184;0;0;0;0
1986;185;0;0;0;0
1986;186;0;0;0;0
1986;187;0;0;0;0
1986;188;0;0;0;0
1986;189;0;0;0;0
1986;190;0;0;0;0
1986;191;0;0;0;0
1986;192;0;0;0;0
1986;193;0;0;0;0
1986;194;0;0;0;0
1986;195;0;0;0;0
1986;196;0;0;0;0
1986;197;0;0;0;0
1986;198;0;0;0;0
1986;199;0;0;0;0
1986;200;0;0;0;0
1986;201;0;0;0;0
1986;202;0;0;0;0
1986;203;0;0;0;0
1986;204;0;0;0;0
1986;205;0;0;0;0
1987;92;0;0;0;0
1987;93;0;1;0;0
1987;94;0;0;0;0
1987;95;0;0;0;0
1987;96;0;0;0;0
1987;97;0;0;0;0
1987;98;0;0;0;0
1987;99;0;0;0;0
1987;100;0;1;0;0
1987;101;0;1;0;0
1987;102;0;1;0;0
1987;103;0;0;0;0
1987;104;0;0;0;0
1987;105;0;1;0;0
1987;106;0;0;0;0
1987;107;0;0;0;0
1987;108;0;0;0;0
1987;109;0;2;0;0
1987;110;0;0;0;0
1987;111;0;1;0;0
1987;112;0;0;0;0
1987;113;0;0;0;0
1987;114;0;2;0;0
1987;115;0;1;0;0
1987;116;0;4;0;0
1987;117;0;3;0;0
1987;118;0;2;0;0
1987;119;0;7;0;0
1987;120;0;2;0;0
1987;121;0;5;0;0
1987;122;0;5;0;0
1987;123;0;10;0;0
1987;124;0;9;0;0
1987;125;0;6;1;0
1987;126;0;6;0;0
1987;127;0;6;0;0
1987;128;0;7;0;0
1987;129;0;6;0;0
1987;130;0;1;0;0
1987;131;0;7;0;0
1987;132;0;5;0;0
1987;133;0;4;2;0
1987;134;0;3;1;0
1987;135;0;5;1;0
1987;136;0;2;4;0
1987;137;0;3;0;0
1987;138;0;2;2;0
1987;139;0;2;1;0
1987;140;0;3;3;0
1987;141;0;0;1;0
1987;142;0;1;2;0
1987;143;0;1;1;0
1987;144;0;0;2;0
1987;145;2;1;5;0
1987;146;0;2;6;0
1987;147;0;2;3;0
1987;148;1;1;6;0
1987;149;0;0;5;0
1987;150;0;0;5;0
1987;151;1;0;6;0
1987;152;1;0;7;0
1987;153;0;0;8;0
1987;154;0;0;2;0
1987;155;0;0;6;0
1987;156;1;0;9;0
1987;157;0;0;2;0
1987;158;0;0;0;0
1987;159;0;0;4;0
1987;160;0;0;2;0
1987;161;0;0;1;0
1987;162;0;0;7;0
1987;163;2;0;1;0
1987;164;0;0;1;0
1987;165;0;0;4;0
1987;166;0;0;3;0
1987;167;0;0;1;0
1987;168;0;0;4;0
1987;169;0;0;3;0
1987;170;0;0;0;0
1987;171;0;0;1;0
1987;172;0;0;0;0
1987;173;0;0;1;0
1987;174;0;0;0;0
1987;175;0;0;0;0
1987;176;0;0;0;0
1987;177;0;0;1;0
1987;178;0;0;1;0
1987;179;0;0;1;0
1987;180;0;0;0;0
1987;181;0;0;1;0
1987;182;0;0;0;0
1987;183;0;0;0;0
1987;184;0;0;0;0
1987;185;0;0;0;0
1987;186;0;0;0;0
1987;187;0;0;0;0
1987;188;0;0;0;0
1987;189;0;0;0;0
1987;190;0;0;0;0
1987;191;0;0;0;0
1987;192;0;0;0;0
1987;193;0;0;0;0
1987;194;0;0;0;0
1987;195;0;0;0;0
1987;196;0;0;0;0
1987;197;0;0;0;0
1987;198;0;0;0;0
1987;199;0;0;0;0
1987;200;0;0;0;0
1987;201;0;0;0;0
1987;202;0;0;0;0
1987;203;0;0;0;0
1987;204;0;0;0;0
1987;205;0;0;1;0
1988;92;0;0;0;0
1988;93;0;0;0;0
1988;94;0;0;0;0
1988;95;0;0;0;0
1988;96;0;0;0;0
1988;97;0;0;0;0
1988;98;0;0;0;0
1988;99;0;0;0;0
1988;100;0;0;0;0
1988;101;0;0;0;0
1988;102;0;0;0;0
1988;103;0;1;0;0
1988;104;0;0;0;0
1988;105;0;1;0;0
1988;106;0;1;0;0
1988;107;0;0;0;0
1988;108;0;2;0;0
1988;109;0;1;0;0
1988;110;0;2;0;0
1988;111;0;0;0;0
1988;112;0;1;0;0
1988;113;0;3;0;0
1988;114;0;5;0;0
1988;115;0;2;0;0
1988;116;0;2;0;0
1988;117;0;2;0;0
1988;118;0;6;0;0
1988;119;0;6;0;0
