"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"logit_int_MC";0.503559110666667;0.11760166737373;0.2729;0.4247;0.5047;0.5821;0.7360025;1.00125277710149;5200
"logit_flow_MC";-0.0917826003296;0.121439292936449;-0.3301;-0.1721;-0.09189;-0.01207;0.1462;1.0010629259036;15000
"log_cess_MC";0.0808386522756667;0.255461956500091;-0.4346075;-0.0865025;0.087835;0.2563;0.561;1.00101087176315;30000
"shape_lambda";2.42791642666667;0.594470364635036;1.4119749913646;2.004;2.38;2.795;3.735;1.0011007995241;11000
"rate_lambda";0.00201637890666667;0.00054691658772693;0.00107997498870839;0.001626;0.00196549993640295;0.002353;0.003208;1.00105018715296;18000
"mean_gamma";1221.67923;148.657463049515;963.9;1119;1210;1311;1547;1.00097251648128;30000
"var_gamma";665185.473333333;257176.297984964;335700;489800;612000;779924.998798012;1315000;1.00100595777111;30000
"lambda[1]";751.587326666667;65.3150949279016;638.3;706;746.9;791.3;895.302499863883;1.00097671847855;30000
"lambda[2]";369.923993333333;45.8115062197627;297.5;337.7;363.6;395.2;477.1;1.00100942721761;30000
"lambda[3]";419.284856666667;42.6556197439757;346.697499648405;389.3;415.4;444.824997892588;513.4;1.00097590270589;30000
"lambda[4]";835.060616666667;84.0562322910044;693.8;776.2;826.7;885.2;1021.02498807086;1.00096825908698;30000
"lambda[5]";822.61397;52.7409028357829;736.497499834507;785.9;816.7;852.6;944.4;1.00742060861811;320
"lambda[6]";204.381013333333;26.4361615568729;160.4;186;201.6;220;264.3;1.00096695596623;30000
"lambda[7]";680.90833;50.2057504560689;596.2;645.6;676.5;710.724998680986;793.9;1.00110948648422;10000
"lambda[8]";233.371806666667;23.1983913375039;195.19749937543;217.4;230.849994585228;246.4;285.802499573663;1.00137078055658;3700
"lambda[9]";610.267046666667;141.763375991722;416.797499707547;511;582.9;678;967.502499874039;1.00241703475432;1200
"lambda[10]";750.38259;52.0422779335704;660.097499815351;713.7;746.4;782.8;863.2;1.00096618877121;30000
"lambda[11]";1012.83824666667;75.5515813020508;882.2;959.6;1007;1059;1179;1.00140258218332;3400
"lambda[12]";481.993986666667;73.5983300692309;362.1;430;473.5;525.524998216182;646.702499811562;1.00097211273276;30000
"lambda[13]";1085.44341;124.638514063183;872.9;997.6;1075;1162;1358;1.00268287334467;880
"lambda[14]";267.615283333333;27.9805125231072;219.3;248;265.3;284.8;328.6;1.00096668005056;30000
"lambda[15]";2169.33016666667;73.524872119573;2032;2119;2167;2218;2319;1.00107293754474;14000
"lambda[16]";1362.6123;101.625542952593;1179;1292;1358;1426;1578;1.00098340102516;30000
