"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"logit_int_MC","0.393968579425","0.125237933902832","0.1458","0.311275","0.3959","0.477625","0.6361","1.00111081346075","9200"
"logit_flow_MC","-0.169898979247","0.127995731287962","-0.4267","-0.2541","-0.1694","-0.084465","0.08274025","1.00165173668805","2100"
"log_cess_MC","-0.2019472963805","0.242352222437457","-0.6850125","-0.3633","-0.1962","-0.034425","0.255505","1.00096769192348","20000"
"shape_lambda","2.46957003","0.585159481573821","1.463","2.05074995427759","2.425","2.831","3.74102499674275","1.00105125320366","15000"
"rate_lambda","0.0019690287","0.000514586457937288","0.001087","0.001606","0.001925","0.002286","0.00310002499606938","1.00128915634912","4400"
"mean_gamma","1270.514685","146.496694897638","1014.97498798482","1169","1259","1360","1587","1.00142544502923","3100"
"var_gamma","702790.52","257570.229407988","364397.499665486","526000","652849.998085319","817200","1348049.96387059","1.00144444002514","3000"
"lambda[1]","752.982965","65.3508398868941","639.697499809461","707","747.8","793.1","896.8","1.00221421631412","1200"
"lambda[2]","370.131635","46.0476286569897","298.397499591481","337.5","363.9","396.2","477.9","1.00094884124056","20000"
"lambda[3]","418.694","43.0840830227417","347","388.1","414.6","444.724997892113","514.2","1.00096242706636","20000"
"lambda[4]","833.0084","84.5013142326518","691.897499823838","774.3","824.4","882.3","1024","1.0010725515822","12000"
"lambda[5]","822.163165","53.2455389028361","735.6","785.1","815.8","852.4","944.002499870904","1.00095005675585","20000"
"lambda[6]","204.651245","27.091003904887","160.4","185.6","201.5","220.3","266.3","1.00094935615715","20000"
"lambda[7]","679.42128","50.1930522511464","595.3","644.4","674.8","708.4","792.502499846227","1.00169751898717","2000"
"lambda[8]","232.713075","22.6236874338829","195","217","230.4","245.7","283.8","1.00094848237085","20000"
"lambda[9]","607.98531","141.879477999878","413.7","508.87499815758","580.249997845756","677.6","957.502499872724","1.00096257323533","20000"
"lambda[10]","749.527465","53.0075125335365","658.497499814902","712.1","744.9","782.4","865.502499859195","1.00099903170256","20000"
"lambda[11]","1012.60627","75.8399358813074","883.197499861997","958.6","1006","1059","1178","1.00105040242474","15000"
"lambda[12]","493.80188","77.9475382318224","367.4","438.5","484.5","538.5","672.7","1.00095664863071","20000"
"lambda[13]","1090.980365","125.941730597694","874.6","1002","1080","1168","1367","1.00129576325814","4300"
