OpenBUGS version 3.2.3 rev 1012
model is syntactically correct
data loaded
model compiled
initial values loaded and chain initialized but another chain contain uninitialized variables
model is initialized
model is already initialized
5000 updates took 1325 s
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
10000 updates took 4293508 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	coef_PC	0.132	0.0222	0.0932	0.1303	0.1804	20000
	dIA_Oir[1,8]	4.17	2.363	0.8823	3.743	9.815	20000
	dIA_Oir[1,13]	14.41	4.851	6.292	13.92	25.28	20000
	dIA_Oir[1,23]	25.39	6.8	13.28	24.92	39.55	20000
	dIA_Oir[1,24]	20.4	5.892	10.26	19.93	33.4	20000
	dIA_Oir[1,25]	20.65	5.95	10.36	20.15	33.32	20000
	dIA_Oir[1,26]	16.61	5.284	7.506	16.21	28.11	20000
	dIA_Oir[1,27]	11.53	4.117	4.825	11.11	20.91	20000
	dIA_Oir[1,28]	20.28	5.832	10.27	19.8	33.26	20000
	dIA_Oir[1,29]	12.72	4.408	5.45	12.27	22.83	20000
	dIA_Oir[1,30]	4.929	2.368	1.463	4.545	10.56	20000
	dIA_Oir[2,21]	40.8	11.02	21.39	40.01	63.97	20000
	dIA_Oir[2,22]	54.86	12.87	31.78	54.3	82.11	20000
	dIA_Oir[2,23]	46.58	11.76	25.9	45.9	72.2	20000
	dIA_Oir[2,24]	62.83	13.58	38.31	62.04	91.01	20000
	dIA_Oir[2,25]	46.96	11.74	25.73	46.23	71.92	20000
	dIA_Oir[2,26]	55.67	12.73	32.86	55.01	82.68	20000
	dIA_Oir[2,27]	40.0	10.36	21.93	39.19	62.59	20000
	dIA_Oir[2,28]	56.58	12.71	33.84	55.88	83.26	20000
	dIA_Oir[2,29]	55.64	12.72	32.61	54.91	83.12	20000
	dIA_Oir[2,30]	45.71	11.62	24.82	45.02	70.74	20000
	dIA_Oir[3,23]	33.75	8.59	18.41	33.26	51.97	20000
	dIA_Oir[3,24]	46.41	10.3	27.82	45.83	68.5	20000
	dIA_Oir[3,25]	69.18	12.84	45.57	68.5	98.47	20000
	dIA_Oir[3,26]	52.71	11.18	32.54	52.11	76.22	20000
	dIA_Oir[3,27]	63.34	12.27	41.44	62.58	89.06	20000
	dIA_Oir[3,28]	56.84	11.62	35.9	56.23	81.85	20000
	dIA_Oir[3,29]	32.75	8.605	17.56	32.15	50.97	20000
	dIA_Oir[3,30]	19.16	6.361	8.248	18.58	33.06	20000
	dIA_Oir[4,23]	27.89	7.922	13.92	27.24	45.03	20000
	dIA_Oir[4,24]	37.39	9.265	20.62	36.97	57.61	20000
	dIA_Oir[4,25]	38.0	9.32	21.13	37.42	57.44	20000
	dIA_Oir[4,26]	35.78	8.995	19.78	35.29	54.79	20000
	dIA_Oir[4,27]	44.45	10.2	26.02	43.77	66.37	20000
	dIA_Oir[4,28]	77.27	13.87	51.3	76.65	106.0	20000
	dIA_Oir[4,29]	37.16	9.24	20.5	36.55	57.45	20000
	dIA_Oir[4,30]	21.79	6.958	9.843	21.23	37.03	20000
	dIA_Oir[5,23]	27.4	9.711	11.03	26.54	48.95	20000
	dIA_Oir[5,24]	28.37	9.812	11.86	27.39	49.84	20000
	dIA_Oir[5,25]	37.5	11.63	17.47	36.49	62.46	20000
	dIA_Oir[5,26]	55.15	14.49	29.34	54.21	86.01	20000
	dIA_Oir[5,27]	42.69	12.47	21.0	41.68	70.04	20000
	dIA_Oir[5,28]	29.95	10.2	12.74	29.0	52.83	20000
	dIA_Oir[5,29]	22.49	8.56	8.203	21.61	41.86	20000
	dIA_Oir[5,30]	13.05	6.248	3.484	12.17	27.42	20000
