##################################################################################################################################################
## Il s'agit ici des donn?es d'indice d'abondance pour les stations: IAS04; IAS05; IAS02; IAS08; IAS11; IAS12
## Ces stations ont leur fichier de donn?es ? part des autres stations IAS car elles ont servi dans la construction de la relation d'intercalibration
## /!\ Les donn?es de surface sont au 100m? car si elles sont en m?,il y a des probl?mes de mise ? jour car sampling dans de trop petites valeurs
## /!\ Bien reprendre les bonnes infos selon la station consid?r?e
## /!\ Ces stations sont index?s de 2 mani?res diff?rentes: 
## 1: IAinter_num : index concernant uniquement les stations suivies par IAS et 
## 2: Site_IAnter: index concernant toutes les stations ?chantillonn?es (donc pas seulement IAS)
##################################################################################################################################################
## Year_IAinter: index de l'ann?e
## CPUE_inter: nombre de smolt captur?s lors des indices d'abondance pour une station donn?e
## IAinter_num: index de la station IAS /!\ Bien reprendre les bonnes infos selon la station consid?r?e
## Site_IAinter: index de la station parmi toutes les stations ?chantillonn?es quelque soit la m?thode /!\ Bien reprendre les bonnes infos selon la station consid?r?e 
## Srr_IAinter: surface de radiers rapides de la station ?chantillonn?e (en 100m?) /!\ Bien reprendre les bonnes infos selon la station consid?r?e
## Lieu_IAinter: index de la rivi?re (1: Oir; 2: Ruisseau de la Roche; 3: Pont Levesque; 4: Moulin du bois) /!\ Bien reprendre les bonnes infos selon la station consid?r?e
## Group_IAinter: index du groupe auquel appartient la station ?chantillonn?e /!\ Bien reprendre les bonnes infos selon la station consid?r?e
##################################################################################################################################################
Year_IAinter[]	CPUE_inter[]	IAinter_num[]	Site_IAinter[]	Srr_IAinter[]	Lieu_IAinter[]	Group_IAinter[]		
8	3	6	63	3.1039	1	3	#	IAS04
8	8	7	64	4.6718	1	6	#	IAS05
8	4	8	65	3.1943	1	1	#	IAS02
8	2	9	66	3.5545	1	8	#	IAS08
8	3	10	67	1.4016	3	12	#	IAS11
8	42	11	68	2.27715	2	13	#	IAS12
9	18	6	63	3.1039	1	3	#	IAS04
9	38	7	64	4.6718	1	6	#	IAS05
9	1	11	68	2.27715	2	13	#	IAS12
10	17	6	63	3.1039	1	3	#	IAS04
10	3	7	64	4.6718	1	6	#	IAS05
10	18	8	65	3.1943	1	1	#	IAS02
10	4	9	66	3.5545	1	8	#	IAS08
10	0	11	68	2.27715	2	13	#	IAS12
11	47	6	63	3.1039	1	3	#	IAS04
11	0	7	64	4.6718	1	6	#	IAS05
11	51	8	65	3.1943	1	1	#	IAS02
11	23	9	66	3.5545	1	8	#	IAS08
13	16	6	63	3.1039	1	3	#	IAS04
13	37	7	64	4.6718	1	6	#	IAS05
13	12	8	65	3.1943	1	1	#	IAS02
13	60	9	66	3.5545	1	8	#	IAS08
13	29	10	67	1.4016	3	12	#	IAS11
13	66	11	68	2.27715	2	13	#	IAS12
14	20	6	63	3.1039	1	3	#	IAS04
14	34	7	64	4.6718	1	6	#	IAS05
14	17	8	65	3.1943	1	1	#	IAS02
15	24	6	63	3.1039	1	3	#	IAS04
15	37	7	64	4.6718	1	6	#	IAS05
15	57	8	65	3.1943	1	1	#	IAS02
15	72	9	66	3.5545	1	8	#	IAS08
15	11	10	67	1.4016	3	12	#	IAS11
15	38	11	68	2.27715	2	13	#	IAS12
