##################################################################################################################################################
## Il s'agit ici des tacons captur?s par enl?vements successifs
## Depuis 2009 (Year = 23), seuls les stations de type PTE et celles du ruisseau de la roche (RR...) sont encore suivies par enl?vement successifs
## /!\ Les donn?es de surface sont exprim?es en 100m? car si elles sont en m?,il y a des probl?mes de mise ? jour car sampling dans de trop petites valeurs
## /!\ Bien reprendre les bonnes infos (site, group, lieu, Srr et Spl) selon la station consid?r?e
##################################################################################################################################################
## Year est l'index de l'ann?e
## C1 est le nombre de tacons captur?s lors du premier passage selon la station consid?r?e
## C2 est le nombre de tacons captur?s lors du second passage selon la station consid?r?e
## Site est l'index de la station /!\ Bien reprendre les bonnes infos selon la station consid?r?e
## Group est l'index du groupe auquel appartient la station ?chantillonn?e /!\ Bien reprendre les bonnes infos selon la station consid?r?e
## Lieu est l'index de la rivi?re (1: Oir; 2: Ruisseau de la Roche; 3: Pont Levesque; 4: Moulin du bois). /!\ Bien reprendre les bonnes infos selon la station consid?r?e
## Srr est la surface de radiers rapides de la station ?chantillonn?e (en 100m?) /!\ Bien reprendre les bonnes infos selon la station consid?r?e
## Spl est la surface de plats de la station ?chantillonn?e (en 100m?) /!\ Bien reprendre les bonnes infos selon la station consid?r?e
##################################################################################################################################################  
Year[]	C1[]	C2[]	Site[]	Group[]	Lieu[]	Srr[]	Spl[]		
1	3	0	1	1	1	2.5127	0.9365	#	OIR1.3
1	5	0	5	3	1	2.5135	1.335	#	OIR2.8
1	0	0	6	3	1	1.1173	1.452	#	OIR2.6
1	2	1	13	6	1	0.979	1.104	#	OIR4.6
1	0	0	14	6	1	0.585	0.9828	#	OIR4.2
1	1	0	15	6	1	0	0.62665	#	OIR4.4
1	20	1	21	8	1	0.8	1.76	#	OIR5.5
1	3	0	22	8	1	0.651	2.135	#	OIR5.3
2	20	5	1	1	1	2.5127	0.9365	#	OIR1.3
2	0	NA	2	1	1	0	1.344	#	OIR1.4
2	56	3	5	3	1	2.5135	1.335	#	OIR2.8
2	14	1	6	3	1	1.1173	1.452	#	OIR2.6
2	6	1	13	6	1	0.979	1.104	#	OIR4.6
2	0	0	14	6	1	0.585	0.9828	#	OIR4.2
2	2	1	15	6	1	0	0.62665	#	OIR4.4
2	30	2	21	8	1	0.8	1.76	#	OIR5.5
2	3	0	22	8	1	0.651	2.135	#	OIR5.3
2	12	2	35	13	2	0.832	0.1872	#	RR01
2	26	8	36	13	2	1.5496	0.34866	#	RR02
2	60	NA	37	13	2	0.6656	0.14976	#	RR03
2	18	4	38	13	2	1.5864	0.35694	#	RR04
2	57	NA	39	13	2	1.432	0.3222	#	RR05
2	22	1	40	13	2	1.9456	0.43776	#	RR06
