"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%"
"sd_prem";0.458669854;0.0790547928833176;0.2837;0.4087;0.4614;0.5071;0.6256
"mup_rem";0.80847064;0.00972176723880823;0.7888;0.8021;0.8086;0.8151;0.827
"int_width";-0.795186974;0.113255937175362;-1.02;-0.8705;-0.7935;-0.7195;-0.5759
"width_coef";0.814620496;0.0870140719590134;0.645097499811056;0.7569;0.8138;0.8722;0.9873
"rate_lcpu";0.548308338;0.163853510784901;0.3135;0.4348;0.5206;0.63;0.942004999482557
"sigma_dOir";0.710149054;0.0245907241938787;0.6637;0.6932;0.7097;0.7265;0.7599
"mu_ydOir[1]";2.25637322;0.260632454142524;1.768;2.079;2.251;2.42;2.79
"mu_ydOir[2]";2.38856316;0.294507459775965;1.818;2.195;2.383;2.569;2.999
"mu_ydOir[3]";2.096504588;0.346412440049896;1.431;1.861;2.091;2.328;2.786
"mu_ydOir[4]";0.804121638076;0.432061095175413;-0.03910875;0.5159;0.8015;1.088;1.661
"sigma_yOir";1.305775364;0.210428317664246;0.9599;1.158;1.284;1.429;1.778
"year_dOir[1]";-1.209811659488;0.578706127000307;-2.368;-1.594;-1.203;-0.816675;-0.0945719999999995
"year_dOir[2]";0.09063552196922;0.495756047893232;-0.880505;-0.2386;0.08602;0.4178;1.08
"year_dOir[3]";0.2874363505258;0.493000540316301;-0.6881125;-0.0420875;0.2894;0.6194;1.246
"year_dOir[4]";-0.12570364692328;1.20504827774913;-2.65305;-0.9122;-0.06234;0.7437;1.985
"year_dOir[5]";-0.3394025874712;0.491400827320603;-1.3;-0.6761;-0.3378;-0.00437825;0.611805
"year_dOir[6]";-1.73417031152;0.5322815565104;-2.793;-2.086;-1.729;-1.374;-0.704184999999999
"year_dOir[7]";-0.5459595207396;0.510882138179646;-1.564;-0.889625;-0.5398;-0.1963;0.4318
"year_dOir[8]";-0.9336885701118;0.467605767398695;-1.861;-1.245;-0.9334;-0.6199;-0.0292367499999998
"year_dOir[9]";-0.124693569662;0.495399686744559;-1.110025;-0.4562;-0.1212;0.2134;0.826510000000001
"year_dOir[10]";-1.5117982856;0.433459505319613;-2.378;-1.801;-1.508;-1.219;-0.6679925
"year_dOir[11]";0.24944775569248;0.401405831326361;-0.5433025;-0.0164925;0.2476;0.517925;1.044
