"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"sd_prem";0.520152975;0.0741086052453961;0.3901;0.4686;0.5156;0.5633;0.6769;1.0088448288663;430
"mup_rem";0.804069015;0.0106068466892668;0.7824;0.7971;0.8043;0.8114;0.8241;1.00292583502741;760
"int_width";-0.784945415;0.11237148376032;-1.011;-0.8594;-0.78375;-0.7082;-0.5696975;1.00296894734161;740
"width_coef";0.80472158;0.0856992781744256;0.639994999238125;0.746;0.8042;0.862224998912739;0.9726024998747;1.00212424324349;1300
"rate_lcpu";0.563413485;0.166598236648164;0.3255;0.4474;0.5344;0.646924998550911;0.968322489811174;1.00094970643353;20000
"sigma_dOir";0.719068815;0.024570273195714;0.672497499818756;0.7024;0.7187;0.7351;0.7691;1.00097277121819;20000
"mu_ydOir[1]";2.2715997;0.254676046487185;1.76;2.101;2.277;2.446;2.758;1.00326319345313;650
"mu_ydOir[2]";2.3702857;0.301598649139495;1.772;2.166;2.371;2.58;2.945;1.00325928357528;650
"mu_ydOir[3]";2.11669955;0.342312390404479;1.44097499153847;1.881;2.118;2.35;2.774;1.00173402829024;2300
"mu_ydOir[4]";0.818673619745;0.417653078604411;-0.00978554999999999;0.5413;0.82145;1.097;1.626025;1.00110238117569;9800
"sigma_yOir";1.278499545;0.202819537297393;0.9428;1.134;1.257;1.398;1.74;1.00096280615888;20000
"year_dOir[1]";-1.21531173604;0.571281648635475;-2.350075;-1.596;-1.208;-0.8268;-0.1082975;1.00151899394117;2600
"year_dOir[2]";0.08650663009055;0.490845572718178;-0.8689;-0.2418;0.086155;0.40985;1.059;1.0023730622916;1100
"year_dOir[3]";0.272962676868;0.489833557546921;-0.6774075;-0.058245;0.2717;0.599025;1.238;1.00229159905345;1100
"year_dOir[4]";-0.115122953315;1.18294784878904;-2.588025;-0.891125;-0.05581;0.734575;1.994025;1.00112254501836;8600
"year_dOir[5]";-0.338387683035;0.495942641616871;-1.297025;-0.6787;-0.34255;-0.0084045;0.635017499999998;1.00119957255969;6000
"year_dOir[6]";-1.73199479385;0.522466842733398;-2.768;-2.08325;-1.732;-1.379;-0.717895000000001;1.00139456208359;3400
"year_dOir[7]";-0.529409503531;0.502295777101354;-1.506;-0.876425;-0.5322;-0.1879;0.451619999999998;1.00203809830431;1400
"year_dOir[8]";-0.94646685241;0.465816003211944;-1.854;-1.261;-0.95095;-0.6304;-0.0310075000000002;1.00289253917735;770
"year_dOir[9]";-0.1333507289957;0.493428991111369;-1.096025;-0.4658;-0.13615;0.196825;0.833812499999999;1.00123256235288;5300
"year_dOir[10]";-1.50638138025;0.431947726470405;-2.360025;-1.793;-1.51;-1.215;-0.6642;1.00174540860465;1900
"year_dOir[11]";0.2361658316885;0.397340978889939;-0.5378175;-0.0327325;0.2352;0.5045;1.014025;1.00110321378584;9700
"year_dOir[12]";-3.87658585;0.547346146346143;-4.971;-4.241;-3.868;-3.506;-2.828;1.00384445894539;520
"year_dOir[13]";0.39214634235675;0.394346758265413;-0.3670075;0.1211;0.39105;0.6587;1.171;1.00316382481612;680
"year_dOir[14]";0.3793962853265;0.390061521415805;-0.3728025;0.1119;0.3756;0.647925;1.14;1.00145710049942;3000
"year_dOir[15]";1.019731026645;0.387884835555286;0.2691975;0.7565;1.016;1.283;1.785025;1.00215657937799;1200
"year_dOir[16]";-1.0191464154;0.397061163838873;-1.789025;-1.29;-1.019;-0.751875;-0.239785000000001;1.00275699817153;830
"year_dOir[17]";0.3104701949315;0.389261494516568;-0.448405;0.0449075;0.3107;0.576925;1.074;1.00324155608001;660
"year_dOir[18]";-1.690564221;0.415127554262589;-2.487025;-1.971;-1.695;-1.409;-0.8696975;1.00097680014526;20000
"year_dOir[19]";0.35336730458895;0.386250347957107;-0.3949125;0.089365;0.3511;0.6138;1.117025;1.00204674668797;1400
"year_dOir[20]";0.2692273045295;0.387167479805111;-0.4806025;0.00770575;0.2673;0.5291;1.044;1.0019258055366;1700
"year_dOir[21]";0.65434961392;0.375680924989698;-0.07956025;0.400075;0.65065;0.9114;1.382025;1.00283759018959;800
"year_dOir[22]";0.85822205927;0.379057750071028;0.1166975;0.6023;0.8558;1.115;1.607;1.00110070619424;9900
"year_dOir[23]";0.747586994151;0.408653706428497;-0.05799575;0.470425;0.74725;1.022;1.549;1.00270383852133;860
"year_dOir[24]";1.13141543263;0.404019901210676;0.3383975;0.856575;1.133;1.409;1.926;1.00317695088247;670
"year_dOir[25]";1.063091623525;0.409850107269567;0.2669;0.785975;1.059;1.338;1.878025;1.00143982160681;3100
"year_dOir[26]";1.0386900325;0.412325570936119;0.236995;0.7603;1.035;1.317;1.861;1.00293460267206;760
"year_dOir[27]";1.22464617495;0.408022940312028;0.4174875;0.946875;1.225;1.509;2.01;1.00142649771682;3100
"year_dOir[28]";1.2950550057;0.397101306654897;0.517585;1.021;1.298;1.56725;2.057;1.00200544182957;1400
"year_dOir[29]";1.037476812135;0.408083098213966;0.2399775;0.762275;1.032;1.312;1.848;1.00403535350202;490
"year_dOir[30]";0.179065796976;0.42319379032704;-0.6516125;-0.1066;0.1778;0.4611;1.021025;1.00166623797356;2100
"sigma_gryrOir";0.914509985;0.0604417094878368;0.8026;0.8725;0.9121;0.954;1.038;1.00112946774856;8300
"test[1]";0.31205;0.463341700882393;0;0;0;1;1;1.00125775677192;4900
"test[2]";0.72385;0.447103089408503;0;0;1;1;1;1.00104311271325;16000
"test[3]";1;0;1;1;1;1;1;1;1
"test[4]";0.79505;0.4036751728584;0;1;1;1;1;1.00113092230839;8200
"test[5]";1;0;1;1;1;1;1;1;1
"test[6]";0.9995;0.0223556478042896;1;1;1;1;1;1.01937854655529;20000
"k_cpuOir[1]";1.58285955;0.0867523787717583;1.42;1.524;1.58;1.64;1.75802499307;1.00102225060635;20000
"k_cpuOir[2]";0.99237103;0.0497028332323286;0.8972;0.958674999022054;0.9913;1.025;1.093;1.0028601588452;790
"k_cpuOir[3]";1.2657554;0.0587406715501679;1.154;1.226;1.264;1.304;1.385;1.00172231027145;1900
"k_cpuOir[4]";1.27599755;0.0593656083753076;1.163;1.235;1.274;1.315;1.397;1.00168384298093;2000
"k_cpuOir[5]";0.79197777;0.05032320181645;0.695197499824674;0.7577;0.7909;0.8252;0.8936;1.0032079493578;670
"k_cpuOir[6]";1.5768878;0.0860854241214638;1.415;1.519;1.574;1.634;1.751;1.00102610202429;19000
"k_cpuOir[7]";1.47805415;0.0757084665435301;1.334;1.427;1.476;1.528;1.632;1.00114707554336;7600
"k_cpuOir[8]";1.7887604;0.112353537806839;1.577;1.712;1.786;1.863;2.01602499395658;1.00094856876131;20000
"k_cpuOir[9]";1.2273426;0.0565701912191105;1.12;1.189;1.226;1.264;1.343;1.00188143420111;1600
"k_cpuOir[10]";0.808535555;0.0501609664427401;0.7117;0.7744;0.8074;0.8417;0.9097;1.00320081749063;670
"k_cpuOir[11]";0.595098275;0.0520517782684263;0.4962;0.559374998323922;0.5936;0.6295;0.7007;1.00312018383743;690
"coef_PC";0.1320007765;0.0221972742534137;0.09352;0.1162;0.1303;0.1459;0.1808;1.001111692186;9200
"dRR_Oir[1,1]";1.4349062;0.70224185768145;0.432384989843866;0.9219;1.317;1.82424994861841;3.11807496484346;1.00096506265626;20000
"dRR_Oir[1,2]";9.8924119;2.03226686991889;6.347;8.469;9.734;11.16;14.32;1.00095196558282;20000
"dRR_Oir[1,3]";7.93718565;1.72504907362063;4.92797499752656;6.72;7.815;9.02624998961401;11.67;1.001031855966;18000
"dRR_Oir[1,5]";11.7505294;2.14468725039474;7.984;10.22;11.62;13.12;16.2802499251684;1.00097000270294;20000
"dRR_Oir[1,6]";3.381222125;1.14908087231036;1.539;2.55;3.25;4.066;6.02702499797807;1.0009554780246;20000
"dRR_Oir[1,7]";9.2826726;2.03375475746952;5.84997499791643;7.84574998805035;9.102;10.53;13.76;1.00104264656841;16000
"dRR_Oir[1,8]";2.48036006;0.845719481759695;1.109;1.868;2.385;2.987;4.39302499722611;1.00095535442915;20000
"dRR_Oir[1,9]";7.7711506;1.84597531583252;4.62894998946557;6.465;7.60949998357317;8.88824998945276;11.79;1.00106623408318;13000
"dRR_Oir[1,10]";15.580833;2.27049819440878;11.53;13.98;15.44;17.03;20.4002499402766;1.00099779095373;20000
