"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"sd_prem","0.559710283051137","0.081642816527918","0.4143","0.498674998119892","0.556949997755633","0.616","0.718832498474138","1.00749058305876","230"
"mup_rem","0.800513250384813","0.0111123956218448","0.7777","0.7934","0.8008","0.8081","0.8213","1.0020234844623","1400"
"int_width","-0.786022413203352","0.110443912939053","-1.005","-0.8597","-0.7851","-0.7107","-0.5731675","1.00153073682139","2600"
"width_coef","0.803159252608175","0.0846765994557654","0.6379","0.7454","0.803","0.860424998910464","0.969","1.0013252924285","4100"
"rate_lcpu","0.580984316743629","0.176056915291505","0.3312","0.4598","0.5496","0.6679","1.005","1.00187541147378","1600"
"sigma_dOir","0.731115046177527","0.0247200173097395","0.6844","0.7143","0.7306","0.7475","0.7808","1.00159303148014","2400"
"mu_ydOir[1]","2.28699841799213","0.244168396740089","1.80867493934695","2.126","2.286","2.446","2.776","1.00110783966409","9900"
"mu_ydOir[2]","2.34302231913802","0.287989533877707","1.787","2.151","2.339","2.531","2.918","1.00104672187074","16000"
"mu_ydOir[3]","2.10505185565247","0.327108875672586","1.47067492540506","1.885","2.106","2.321","2.754","1.00095818416435","23000"
"mu_ydOir[4]","0.812818533106721","0.410529068286329","0.013664","0.531075","0.81495","1.09","1.612325","1.00152539593187","2600"
"sigma_yOir","1.2562941294681","0.195820540411017","0.931734995290807","1.118","1.237","1.372","1.698","1.00097008559582","23000"
"year_dOir[1]","-1.20973655531469","0.563780835569085","-2.327","-1.592","-1.206","-0.829075","-0.105905","1.00103088577296","20000"
"year_dOir[2]","0.0883149442496152","0.476914843844947","-0.86826","-0.2268","0.09492","0.4063","1.013","1.00151713135909","2700"
"year_dOir[3]","0.284222079841799","0.48338421413658","-0.6672975","-0.0393125","0.2879","0.608525","1.233","1.00104712322751","16000"
"year_dOir[4]","-0.112405548527878","1.15718336645572","-2.536","-0.87075","-0.069665","0.713","1.959","1.00095708017883","23000"
"year_dOir[5]","-0.348892497163075","0.48453677870126","-1.302","-0.6779","-0.34795","-0.0226725","0.5930975","1.00096159073554","23000"
"year_dOir[6]","-1.71421905502822","0.521360784950813","-2.759","-2.058","-1.709","-1.359","-0.709805","1.00095573207229","23000"
"year_dOir[7]","-0.53607499354327","0.494475214572551","-1.509","-0.86825","-0.53585","-0.203075","0.4205625","1.00193646661892","1500"
"year_dOir[8]","-0.939808149613905","0.46150087595398","-1.86","-1.249","-0.93535","-0.629","-0.0552577499999999","1.0010149040113","23000"
"year_dOir[9]","-0.138100427470498","0.4849424189283","-1.084","-0.4673","-0.13635","0.1866","0.8211325","1.00135309795054","3800"
"year_dOir[10]","-1.5101844190183","0.42039936473116","-2.346","-1.789","-1.508","-1.226","-0.6963675","1.0010611505526","14000"
"year_dOir[11]","0.233916107500855","0.388204505546428","-0.5302575","-0.0270825","0.23745","0.4927","0.990295","1.00100395013405","23000"
"year_dOir[12]","-3.87957426885582","0.533104095112666","-4.959325","-4.234","-3.869","-3.517","-2.865","1.00104865212515","16000"
"year_dOir[13]","0.397168973029759","0.383007488054497","-0.3603325","0.139275","0.39895","0.6552","1.153","1.00099873547693","23000"
"year_dOir[14]","0.381833101666795","0.377487186804649","-0.3525975","0.126975","0.3799","0.635","1.123","1.00111940148346","9200"
"year_dOir[15]","1.02869432897212","0.382429564348716","0.2848675","0.7686","1.028","1.287","1.78","1.00111676565083","9300"
"year_dOir[16]","-1.01857227096802","0.392120963206679","-1.799","-1.28","-1.013","-0.7532","-0.2581675","1.00100696814446","23000"
"year_dOir[17]","0.316194064897383","0.380617715766018","-0.435425","0.0623575","0.317","0.568925","1.059","1.00096751192403","23000"
"year_dOir[18]","-1.69985248289721","0.40789234760266","-2.499","-1.975","-1.694","-1.428","-0.908","1.00096906485694","23000"
"year_dOir[19]","0.349513921421242","0.377040849857065","-0.390365","0.097925","0.3482","0.60405","1.088","1.00106436761001","14000"
"year_dOir[20]","0.266532315543441","0.377773589625721","-0.4821875","0.01789","0.2712","0.522625","1.001","1.00095592103405","23000"
"year_dOir[21]","0.662449083250385","0.368241260262884","-0.06664125","0.4182","0.6609","0.9083","1.384325","1.00097907872429","23000"
"year_dOir[22]","0.866887767530357","0.375777218481566","0.130405","0.6135","0.8661","1.121","1.599325","1.0010311620183","20000"
"year_dOir[23]","0.746548788211904","0.405654575904441","-0.0576162499999999","0.4757","0.74815","1.017","1.544","1.00100427163202","23000"
"year_dOir[24]","1.11949070737985","0.396745934283583","0.3343","0.853875","1.12","1.388","1.9","1.00096376645212","23000"
"year_dOir[25]","1.05502757248161","0.401452044697273","0.2702675","0.781675","1.053","1.329","1.852","1.0009762673085","23000"
