"Year","Parr 0+","Smolts","1SW","MSW"
1993,10620,NA,NA,NA
1994,19940,NA,493,55
1995,10070,6165,662,38
1996,13720,1978,600,64
1997,9148,9968,423,32
1998,6446,4746,510,21
1999,10730,2615,222,60
2000,20380,3165,241,4
2001,3178,11930,296,32
2002,18075,1240,545,20
2003,13610,10130,228,40
2004,24730,7831,1022,54
2005,14300,10760,417,103
2006,15650,7143,814,69
2007,25980,7540,433,83
2008,21840,10540,272,71
2009,17580,13680,255,102
2010,21910,10550,695,61
2011,34160,8783,357,199
2012,32330,8147,333,111
2013,25630,8540,566,94
2014,26430,10260,624,123
2015,45760,6589,527,141
2016,20850,9788,498,65
