"Year","Parr 0+","Smolts","1SW (escapment)","MSW (escapment)"
1993,10370,NA,NA,NA
1994,19160,NA,461,52
1995,9551,6206,673,38
1996,13320,1992,618,62
1997,8902,9984,405,30
1998,6230,4751,489,21
1999,10490,2607,232,63
2000,19650,3172,271,4
2001,3178,12010,283,30
2002,17620,1242,537,20
2003,13330,10120,228,39
2004,23980,7830,1020,53
2005,13990,10760,417,99
2006,15260,7136,813,73
2007,25100,7547,430,80
2008,21300,10540,271,72
2009,17160,13710,254,102
2010,21230,10530,697,60
2011,33030,8878,350,192
2012,31390,8173,343,113
2013,24940,8497,570,95
2014,25610,10250,626,121
2015,44050,6598,526,140
2016,20250,9761,500,69
2017,23960,6259,782,124
