"Year","Parr 0+","Smolts","1SW (tot returns)","MSW (tot returns)","1SW (escapment)","MSW (escapment)"
1993,10580,NA,NA,NA,NA,NA
1994,19790,NA,508,75,464,49
1995,9995,6257,769,92,651,40
1996,13880,1991,724,85,609,60
1997,9347,9984,455,70,408,29
1998,6448,4767,565,27,493,21
1999,10760,2613,257,93,230,62
2000,20430,3177,317,45,275,5
2001,3205,11980,315,40,280,31
2002,18300,1240,566,22,541,20
2003,14000,10130,229,58,227,39
2004,24780,7829,1117,65,1022,53
2005,14570,10760,452,130,417,99
2006,15850,7156,887,107,814,75
2007,25910,7550,483,94,431,80
2008,21950,10540,286,88,272,73
2009,17820,13680,262,116,256,101
2010,22050,10530,765,65,698,60
2011,34300,8854,385,213,351,191
2012,32270,8144,381,145,345,113
2013,25790,8491,603,104,571,95
2014,26490,10240,686,136,628,122
2015,45145,6621,599,177,525,141
2016,20870,9775,620,87,495,69
2017,24790,6268,950,143,776,124
2018,16750,4888,301,146,283,121
