"Année","Tacon 0+","Smolts (tous)","Smolts 1+","1HM (échappement)","PHM (échappement)"
1993,11080,NA,NA,NA,NA
1994,20280,NA,NA,437,48
1995,10660,6135,5741,652,39
1996,15020,2023,1584,575,56
1997,10340,9993,9818,408,28
1998,6706,4906,3906,503,21
1999,10880,2621,1709,232,66
2000,21530,3067,2700,261,6
2001,3260,11790,10940,282,31
2002,19470,1266,739,564,21
2003,15490,10160,9907,223,38
2004,25580,7891,7257,1017,53
2005,15850,10790,7809,413,94
2006,17030,7228,4900,815,75
2007,26970,7579,4085,427,78
2008,22680,10450,6711,275,71
2009,19050,13720,11600,262,103
2010,23490,10590,7603,697,63
2011,36360,8881,6807,353,195
2012,33120,8271,6366,351,117
2013,27290,8400,6477,577,97
2014,27810,10280,7407,626,124
2015,46670,6627,4754,523,137
2016,22050,9786,8586,481,65
2017,26000,6266,3700,757,122
2018,17570,5187,3883,282,124
2019,49270,5271,2774,212,34
2020,15760,9153,8185,429,37
2021,35050,6754,3476,391,38
2022,22190,7366,6500,126,72
