"Year","Parr 0+","All smolts","Smolts 1+","1SW (escapment)","MSW (escapment)"
1993,11190,NA,NA,NA,NA
1994,20530,NA,NA,408,32
1995,10650,6136,5729,646,32
1996,14680,2030,1592,574,47
1997,9980,9990,9813,403,22
1998,6695,4899,3901,499,17
1999,11050,2623,1709,225,55
2000,21480,3077,2713,237,4
2001,3212,11830,10980,281,25
2002,19100,1267,740,555,17
2003,14800,10160,9904,219,33
2004,25510,7894,7257,1012,48
2005,15310,10790,7802,410,86
2006,16640,7235,4912,806,66
2007,27090,7574,4088,423,71
2008,22540,10440,6702,270,61
2009,18640,13730,11600,254,92
2010,23200,10600,7618,689,56
2011,36000,8812,6756,350,186
2012,33340,8279,6368,334,100
2013,26980,8348,6441,567,85
2014,27670,10290,7417,615,115
2015,47160,6631,4760,518,123
2016,21820,9796,8593,488,57
2017,25840,6271,3709,764,116
2018,17460,5171,3877,275,102
2019,49720,5273,2774,205,29
2020,16010,9410,8489,420,27
2021,35995,6739,3493,387,32
2022,22410,7361,6503,124,67
2023,13030,5899,3981,125,31
