"Année","Tacon 0+","Smolts (tous)","Smolts 1+","Total retour","1HM (retour)","PHM (retour)","Total échappement","1HM (échappement)","PHM (échappement)"
1993,11430,NA,NA,NA,NA,NA,NA,NA,NA
1994,21030,NA,NA,507,444,59,436,400,32
1995,10700,5571,5143,854,764,88,675,642,32
1996,14300,1843,1430,763,687,74,618,569,48
1997,9595,9971,9798,516,449,66,426,401,24
1998,6735,4819,3829,593,570,23,514,497,16
1999,11415,2528,1635,344,253,89,282,225,56
2000,21630,2984,2627,332,288,43,251,245,5
2001,3188,11614,10772,346,311,34,300,276,24
2002,18765,1241,712,603,582,19,573,555,17
2003,14010,10136,9899,274,220,54,253,218,34
2004,25575,7885,7239,1172,1111,59,1060,1013,47
2005,14760,10765,7767,567,447,118,497,411,86
2006,16210,7149,4853,981,883,96,875,809,64
2007,27460,7533,4044,558,472,85,490,419,70
2008,22530,10222,6557,361,283,77,331,269,61
2009,18240,13614,11532,371,263,107,349,256,91
2010,22960,10513,7523,823,761,60,748,692,55
2011,35700,8634,6587,594,383,209,535,349,184
2012,33910,7902,6053,508,374,132,439,338,99
2013,26745,7735,5959,697,602,94,655,569,85
2014,27690,10108,7269,807,677,128,733,618,113
2015,48095,6424,4578,758,597,159,642,518,122
2016,21625,9732,8552,697,618,78,536,478,58
2017,25830,6101,3580,1090,953,135,874,758,115
2018,17440,5007,3757,428,295,131,382,275,104
2019,50625,5151,2668,267,227,40,235,207,28
2020,15930,8516,7994,472,436,35,451,422,28
2021,36310,6488,3283,434,398,35,419,385,33
2022,22140,7256,6431,246,159,86,195,128,68
2023,13245,4271,2742,170,138,31,149,119,29
2024,11085,1711,1289,75,69,5,73,67,5
