"","2.5%","25%","50%","75%","97.5%"
"1994",39,50,59,70,100
"1995",72,82,88,95,112
"1996",58,68,74,81,100
"1997",53,61,65,71,86
"1998",16,20,23,26,34
"1999",70,82,89,98,119
"2000",31,38,42,48,63
"2001",25,30,34,38,49
"2002",13,17,19,22,30
"2003",44,50,54,59,71
"2004",50,55,59,64,76
"2005",102,112,118,126,143
"2006",80,90,96,104,125
"2007",70,78,84,91,108
"2008",62,71,77,84,102
"2009",88,99,107,116,138
"2010",48,56,61,66,82
"2011",183,199,209,222,249
"2012",107,122,132,144,173
"2013",75,87,95,103,124
"2014",109,121,129,138,159
"2015",134,149,159,171,198
"2016",64,72,78,85,101
"2017",119,129,135,143,161
"2018",100,118,130,145,180
"2019",31,36,40,45,55
"2020",22,30,36,43,62
"2021",26,31,35,39,50
"2022",73,81,86,92,107
"2023",23,28,32,37,49
"2024",2,4,6,8,15
