"","2.5%","25%","50%","75%","97.5%"
"1995",4729.97,5614,6154,6743.25,8072
"1996",1571,1851,2028,2227,2686
"1997",9482,9810,9995,10180,10550
"1998",4291,4682,4915,5169.25,5708
"1999",2260,2490,2630,2782,3113
"2000",2640,2911,3074,3250,3633
"2001",10530,11330,11780,12260,13220
"2002",1125,1214,1266,1323,1444
"2003",9759,10010,10150,10300,10590
"2004",7579,7785,7895,8009,8239
"2005",10319.75,10620,10790,10960,11300
"2006",6479,6957,7230,7524.25,8142
"2007",7057.97,7393,7577,7765,8160
"2008",9342.95,10040,10440,10880,11800
"2009",12580,13320,13730,14150,15050
"2010",9761,10290,10590,10910,11560
"2011",7717.97,8432,8871,9342,10330
"2012",6931,7775,8273,8831,10060
"2013",6438.97,7679,8449,9343.25,11280
"2014",9253,9898,10270,10650,11440
"2015",5755,6310,6640,6988.25,7754
"2016",9097,9530,9781,10050,10560
"2017",5487.97,5967,6255,6556,7196.02
"2018",4364,4882.75,5203,5554,6289.02
"2019",4780,5085,5264,5457.25,5856
"2020",3570,6324,8173.5,10580,16040.25
"2021",5930,6436.75,6732,7054,7730.02
"2022",6729,7135,7362.5,7607,8109.02
"2023",4634.97,5404,5880.5,6420,7595
