"","2.5%","25%","50%","75%","97.5%"
"1993",7780,9872,11190,12700,16260
"1994",14019.75,17990,20540,23440,30360
"1995",7780,9570,10650,11860,14530
"1996",10600,13110,14690,16480,20670
"1997",6483.97,8614,10010,11620,15560
"1998",4758,5951,6692,7544,9487
"1999",7170.97,9538,11050,12830,17220
"2000",16050,19410,21490,23810,29180
"2001",2374,2898,3218,3587,4439
"2002",14330,17270,19110,21210,26070
"2003",8599,12330,14850,17880,25740.25
"2004",19499.75,23210,25510,28120,34110
"2005",10160,13310,15350,17710,23490
"2006",12079.75,14900,16650,18650,23380.25
"2007",19970,24370,27090,30190,37290
"2008",17340,20570,22550,24770,29970
"2009",13820,16780,18650,20740,25660
"2010",17800,21150,23220,25540,30890.25
"2011",27800,32930,36030,39530,47520
"2012",24340,29880,33350,37280,46590
"2013",20790,24650,27000,29690,35890
"2014",21369.75,25290,27700,30410,36710
"2015",34390,42270,47170,52750,65830
"2016",16970,19980,21840,23940,28740
"2017",19820,23560,25880,28470,34480
"2018",13320,15880,17470,19240,23310
"2019",36000,44467.5,49740,55740,70040
"2020",11780,14420,16040,17840,21900.25
"2021",25970,32230,36100,40420,50200
"2022",16659.75,20240,22460,24940,30580
"2023",8591,11320,13070,15050,19710.25
