model is syntactically correct
data loaded
model compiled
initial values loaded but chain contains uninitialized variables
initial values loaded but chain contains uninitialized variables
initial values generated, model initialized
model is updating
1000 updates took 8 s
model is updating
5000 updates took 41 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	Plambda[1,1]	0.8431	0.02949	0.7811	0.8452	0.8956	10000
	Plambda[1,2]	0.1569	0.02949	0.1044	0.1548	0.2189	10000
	Plambda[2,1]	0.8957	0.01798	0.856	0.8975	0.9282	10000
	Plambda[2,2]	0.1043	0.01798	0.07184	0.1025	0.144	10000
	Plambda[3,1]	0.9061	0.01601	0.8703	0.9075	0.9365	10000
	Plambda[3,2]	0.09388	0.01601	0.06353	0.09245	0.1297	10000
	Plambda[4,1]	0.9403	0.01615	0.9029	0.9418	0.9695	10000
	Plambda[4,2]	0.05968	0.01615	0.03051	0.05822	0.09705	10000
	Plambda[5,1]	0.8636	0.02068	0.8211	0.8651	0.9028	10000
	Plambda[5,2]	0.1364	0.02068	0.0972	0.1349	0.1789	10000
	Plambda[6,1]	0.8438	0.03316	0.7732	0.8454	0.9038	10000
	Plambda[6,2]	0.1562	0.03316	0.09619	0.1546	0.2268	10000
	Plambda[7,1]	0.8929	0.02718	0.8328	0.8953	0.9396	10000
	Plambda[7,2]	0.1071	0.02718	0.06035	0.1047	0.1672	10000
	Plambda[8,1]	0.9247	0.02111	0.8756	0.9272	0.9605	10000
	Plambda[8,2]	0.07527	0.02111	0.0395	0.07276	0.1244	10000
	Plambda[9,1]	0.9026	0.01739	0.8637	0.9038	0.9354	10000
	Plambda[9,2]	0.09736	0.01739	0.06465	0.09625	0.1363	10000
	Plambda[10,1]	0.7832	0.0334	0.7139	0.7848	0.8459	10000
	Plambda[10,2]	0.2168	0.0334	0.1541	0.2152	0.2861	10000
	Plambda[11,1]	0.8954	0.01388	0.8645	0.8969	0.9226	10000
	Plambda[11,2]	0.1046	0.01388	0.07742	0.1031	0.1355	10000
	Plambda[12,1]	0.8128	0.02611	0.7567	0.8148	0.8581	10000
	Plambda[12,2]	0.1872	0.02611	0.1419	0.1852	0.2433	10000
	Plambda[13,1]	0.9035	0.01533	0.8695	0.9055	0.9322	10000
	Plambda[13,2]	0.09647	0.01533	0.06784	0.09447	0.1305	10000
	Plambda[14,1]	0.8448	0.02464	0.7913	0.8465	0.89	10000
	Plambda[14,2]	0.1552	0.02464	0.11	0.1535	0.2087	10000
	Plambda[15,1]	0.7161	0.03672	0.6391	0.7183	0.783	10000
	Plambda[15,2]	0.2839	0.03672	0.217	0.2817	0.3609	10000
	Plambda[16,1]	0.8038	0.03267	0.7352	0.8061	0.8629	10000
	Plambda[16,2]	0.1962	0.03267	0.1371	0.1939	0.2648	10000
	Plambda[17,1]	0.7788	0.02202	0.7312	0.7796	0.8203	10000
	Plambda[17,2]	0.2212	0.02202	0.1797	0.2204	0.2688	10000
	Plambda[18,1]	0.7291	0.03451	0.6563	0.73	0.792	10000
	Plambda[18,2]	0.2709	0.03451	0.208	0.27	0.3437	10000
	Plambda[19,1]	0.7873	0.03202	0.7204	0.7887	0.8461	10000
	Plambda[19,2]	0.2127	0.03202	0.1539	0.2113	0.2796	10000
	Plambda[20,1]	0.8159	0.02272	0.7671	0.8174	0.8583	10000
	Plambda[20,2]	0.1841	0.02272	0.1417	0.1826	0.2329	10000
	Plambda[21,1]	0.7996	0.0247	0.7471	0.8015	0.8447	10000
	Plambda[21,2]	0.2004	0.0247	0.1553	0.1985	0.2529	10000
	Plambda[22,1]	0.8684	0.02064	0.8228	0.8702	0.9064	10000
	Plambda[22,2]	0.1316	0.02064	0.09362	0.1298	0.1772	10000
	Plambda[23,1]	0.8067	0.02106	0.7612	0.8075	0.8466	10000
	Plambda[23,2]	0.1933	0.02106	0.1534	0.1925	0.2388	10000
	Plambda[24,1]	0.8666	0.06903	0.7084	0.8775	0.9721	10000
	Plambda[24,2]	0.1334	0.06903	0.02788	0.1225	0.2916	10000
	Plambda0[1]	0.8517	0.05558	0.7262	0.8596	0.9369	10000
	Plambda0[2]	0.1483	0.05558	0.06308	0.1404	0.2738	10000
	diff1SW	0.2695	0.4581	-0.6065	0.2639	1.168	10000
	diffF_1SW	-0.3937	0.1872	-0.7598	-0.3965	-0.01728	10000
	diffF_MSW	-0.8124	0.2516	-1.226	-0.8188	-0.3109	10000
	diffMSW	0.7311	0.6502	-0.5356	0.7218	2.012	10000
	e_1SW[1]	461.1	82.18	334.8	452.0	642.1	10000
	e_1SW[2]	638.4	46.71	557.4	633.3	730.6	10000
	e_1SW[3]	617.9	38.95	553.4	613.1	700.1	10000
	e_1SW[4]	414.3	31.6	364.7	406.7	483.1	10000
	e_1SW[5]	508.6	29.98	455.5	508.0	569.4	10000
	e_1SW[6]	233.5	21.3	199.0	231.4	290.1	10000
	e_1SW[7]	281.5	47.88	208.4	277.3	396.0	10000
	e_1SW[8]	272.0	17.89	242.5	269.9	311.9	10000
	e_1SW[9]	540.7	35.2	481.8	539.0	621.5	10000
	e_1SW[10]	229.4	20.01	195.0	227.9	271.7	10000
	e_1SW[11]	1021.0	40.69	944.3	1018.0	1108.0	10000
	e_1SW[12]	416.9	21.45	379.1	415.1	463.4	10000
	e_1SW[13]	820.0	39.6	753.2	816.4	904.9	10000
	e_1SW[14]	429.7	31.11	376.8	428.1	496.4	10000
	e_1SW[15]	272.6	22.33	236.6	272.1	331.6	10000
	e_1SW[16]	259.6	23.56	220.7	256.7	312.5	10000
	e_1SW[17]	698.2	35.82	634.5	695.5	791.5	10000
	e_1SW[18]	352.1	20.8	314.3	350.1	409.1	10000
	e_1SW[19]	347.8	36.43	288.5	342.1	432.3	10000
	e_1SW[20]	569.6	35.68	509.8	566.7	645.7	10000
	e_1SW[21]	633.1	43.3	560.9	633.2	723.8	10000
	e_1SW[22]	518.3	33.42	459.7	518.5	587.8	10000
	e_1SW[23]	488.5	42.6	398.7	478.3	568.6	10000
