######################################################################################################################################	
## Mean flow (m3/s): 1: 15 june - 15 august for 1SW	
## 2: 1 avril - 1 june for MSW	
## Covariate is standardized within WinBUGS	
######################################################################################################################################  	
Q[,1]	Q[,2]
2.441935484	7.828225806
1.21283871	4.122741935
1.223483871	3.924354839
1.183983871	3.237903226
2.017193548	6.634516129
1.954193548	8.143709677
2.537096774	7.479193548
1.838548387	8.891612903
1.900806452	3.722419355
0.848096774	2.452580645
1.511758065	3.768548387
0.904774194	2.894677419
0.976258065	6.482258065
4.077580645	4.086935484
2.146774194	4.827741935
1.467580645	3.807096774
0.946451613	5.228870968
0.854177419	2.326612903
3.44016129	7.197096774
1.669774194	6.928548387
1.698887097	4.917903226
1.344096774	4.390327869
1.419258065	5.008870968
0.782838710	2.543870968
1.500073097	7.312258065#2018
1.425677419	4.142580645
1.451451613	4.225645161
#END	
