"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"logit_int_MP[1]";0.746386433333333;0.0923626439379691;0.564097499783923;0.6855;0.7463;0.8077;0.9267;1.00331279108021;640
"logit_int_MP[2]";-0.240998901362;0.132844899467298;-0.503005;-0.3295;-0.24095;-0.1517;0.0203829999999997;1.00309392740649;710
"logit_flow_MP[1]";-0.1034171494435;0.0923359477013973;-0.2876;-0.1644;-0.1022;-0.04186;0.0766517499999999;1.00158840831372;30000
"logit_flow_MP[2]";-0.210279776608567;0.114127785829124;-0.432205;-0.2863;-0.2102;-0.1347;0.01564025;1.001268889218;30000
"sigmapi_MP";0.322782726333333;0.0775072099974178;0.1784;0.2694;0.3195;0.372;0.484602499748538;1.10700013802496;21
"mupi_F[1,1]";0.066908667;0.00738385470266852;0.0533597499771571;0.06194;0.06661;0.07154;0.08235;1.00103765807746;21000
"mupi_F[1,2]";0.0937629096666667;0.0116959816727833;0.07239;0.08569;0.09323;0.1012;0.1186;1.01429073248787;120
"mupi_F[2,1]";0.0837887243333333;0.0138819455287457;0.0584497499791465;0.07433;0.08306;0.09254;0.1131;1.01510976526398;110
"mupi_F[2,2]";0.16310651;0.0264768015858029;0.1159;0.1446;0.1615;0.1796;0.22;1.00324862153656;660
"sigmapi_F[1]";0.488603903333333;0.0879236177932273;0.338697499640098;0.4272;0.4806;0.5418;0.6822;1.05724840492458;33
"sigmapi_F[2]";0.576914443333333;0.131788986384629;0.3468;0.4851;0.5678;0.6575;0.860604999433621;1.00551569233056;480
"rho_F[1]";0.303286086194667;0.274736029613807;-0.2818;0.117875;0.3267;0.5084;0.7691;1.0823816548377;24
"rho_F[2]";0.189994821019833;0.376622673835881;-0.561;-0.07776;0.2083;0.472925;0.8611;1.05569436886678;33
"logit_int_R[1]";-2.06834966666667;0.0889656399744236;-2.244;-2.127;-2.068;-2.01;-1.892;1.00096518886501;30000
"logit_int_R[2]";-1.92675806666667;0.148016861093484;-2.221;-2.025;-1.926;-1.828;-1.639;1.00159243495436;2400
"logit_effort_R[1]";0.3263796972;0.096269599271664;0.1387;0.2622;0.32535;0.3896;0.521105;1.00384799241667;520
"logit_effort_R[2]";0.377752288529667;0.163033652705526;0.05933975;0.2686;0.3777;0.4849;0.701;1.00132147024629;4200
"logit_flow_R[1]";0.133784995458667;0.0888546984903914;-0.03931125;0.07494;0.133;0.1923;0.3101;1.00258406923216;930
"logit_flow_R[2]";0.144308687522667;0.126707664629648;-0.097383;0.05924;0.1427;0.2258;0.3994025;1.00106746853332;15000
"sigmapi_R";0.36820361;0.065168373207639;0.258797499528957;0.3225;0.362;0.406624997694625;0.5155;1.00097406212138;30000
"mupi_D[1,1]";0.00905660968;0.00549359609533836;0.00221;0.005279;0.00788;0.01148;0.0223602499455102;1.00604418960707;300
"mupi_D[1,2]";0.005982137491;0.00419593881555984;0.001142;0.003114;0.005005;0.00770724998783665;0.0165902499265662;1.00585828816585;310
"mupi_D[2,1]";0.117184466733333;0.0781673901225043;0.0236294997935794;0.0624074998497696;0.09827;0.1513;0.3189;1.00204724858882;1400
"mupi_D[2,2]";0.04910763214;0.0391881893265524;0.00789797499845676;0.02354;0.0386649996767102;0.0627824998506829;0.1518;1.00222445090701;1200
"sigmapi_D[1]";1.78305536333333;0.516808739356902;1.02;1.421;1.702;2.056;3.02202499596795;1.00776542620988;220
"sigmapi_D[2]";2.78223114;0.836227071111339;1.607;2.21;2.632;3.18124997053354;4.85504998996152;1.00096557209378;30000
"rho_D[1]";0.752197854493333;0.216681127607816;0.1929925;0.645;0.81345;0.9179;0.9922;1.0009749549013;30000
"rho_D[2]";0.781087306033333;0.168637051826252;0.351395;0.700175;0.824;0.9056;0.9809;1.00133690471304;4000
"mupi_oF";0.643332916666667;0.0608075707746591;0.514897499763273;0.607274998456134;0.6453;0.6827;0.7574;1.000972447595;30000
"sigmapi_oF";0.715923306666667;0.26478944175152;0.363097499664288;0.535;0.6653;0.8366;1.366;1.00098469531391;30000
"test[1]";0.1283;0.334429122677142;0;0;0;0;1;1.00154409504409;2600
"test[2]";0.0339333333333333;0.181060638978737;0;0;0;0;1;1.00381901280313;3800
"test[3]";0.0126666666666667;0.111833085937001;0;0;0;0;0;1.06097213472278;590
"test[4]";0.0021;0.0457783775960716;0;0;0;0;0;1.10297714220729;2000
"test[5]";0.812533333333333;0.390292189462366;0;1;1;1;1;1.00130441069652;4400
"test[6]";0.937266666666667;0.242486746475547;0;1;1;1;1;1.00103606880836;21000
"test[7]";0.9993;0.0264486921751768;1;1;1;1;1;1.05132152502492;13000
"test[8]";0.989133333333333;0.103677097375648;1;1;1;1;1;1.01560659104043;2900
"test[9]";0.936933333333333;0.243086881443556;0;1;1;1;1;1.00264694128684;3000
"test[10]";0.876166666666667;0.329396805738524;0;1;1;1;1;1.00111583929481;10000
"diffF_1SW";-0.365003007324667;0.159778320931601;-0.6764;-0.4704;-0.3661;-0.2611;-0.0447187500000001;1.0147138637501;140
"diffF_MSW";-0.757666629466667;0.257146322539523;-1.279;-0.924325;-0.7562;-0.588275;-0.261895;1.015576841982;110
"diff1SW";0.4703815277201;0.55399770849026;-0.5898075;0.110475;0.45975;0.8113;1.611;1.00106481809562;15000
"diffMSW";1.00596385342;0.667398186080269;-0.320805;0.5747;1.01;1.432;2.320025;1.00098799072289;30000
