"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"logit_int_MP[1]","0.78405946","0.093074850351192","0.601897499797494","0.7225","0.7838","0.8448","0.968702499874195","1.00101686568022","20000"
"logit_int_MP[2]","-0.25271118711095","0.128422230419569","-0.50721","-0.339225","-0.25255","-0.164775","-0.00301292500000001","1.00094865838208","20000"
"logit_flow_MP[1]","-0.1607488892435","0.0902862061395482","-0.3384","-0.2203","-0.16075","-0.1007","0.0158442499999996","1.00120634608895","5800"
"logit_flow_MP[2]","-0.322428410615","0.108266609355896","-0.5355","-0.3947","-0.3225","-0.2512","-0.1088","1.00141928745043","3200"
"sigmapi_MP","0.353305625","0.0696287022618425","0.2273","0.3052","0.3499","0.3968","0.500104999025451","1.00097463077599","20000"
"mupi_F[1,1]","0.0650478845","0.00691041809180674","0.0524097499767429","0.06032","0.06477","0.06942","0.0796002499846903","1.00095783860482","20000"
"mupi_F[1,2]","0.0825716675","0.0102352607867417","0.06377","0.0754974998758182","0.0820849998477188","0.08904","0.1041","1.00099162353708","20000"
"mupi_F[2,1]","0.076873479","0.0116846419136143","0.05571","0.06865","0.07622","0.0844324998889689","0.1013","1.00104642623046","15000"
"mupi_F[2,2]","0.169378933","0.02448048234313","0.125597499029149","0.1523","0.1682","0.185","0.2214","1.00094867240109","20000"
"sigmapi_F","0.50162802","0.0656310963866995","0.3843","0.4561","0.4973","0.5433","0.640902499809857","1.00110681334131","9500"
"rho_F","0.27860002278003","0.234721481303393","-0.215","0.1245","0.29565","0.4493","0.6889","1.00097399937081","20000"
"logit_int_R[1]","-2.11788705","0.0680654746383171","-2.254","-2.162","-2.117","-2.072","-1.987","1.00127597506356","4600"
"logit_int_R[2]","-1.953261","0.128001998439791","-2.207","-2.039","-1.952","-1.868","-1.704","1.00105192699987","15000"
"logit_effort_R[1]","0.26656027665","0.0731801056201735","0.1267975","0.2183","0.2653","0.314","0.4145025","1.00096136761561","20000"
"logit_effort_R[2]","0.28409424635805","0.125436418637277","0.039409","0.2002","0.2839","0.3672","0.5313025","1.00097569373183","20000"
"logit_flow_R[1]","-0.339070435","0.0728183896766094","-0.4843075","-0.3871","-0.33865","-0.291575","-0.1946","1.00095089537717","20000"
"logit_flow_R[2]","-0.186156772325","0.12086262211744","-0.4251","-0.2668","-0.18595","-0.1053","0.0528829999999997","1.00108002538435","11000"
"sigmapi_R","0.2638897","0.0540707363472744","0.1713","0.2256","0.2593","0.297","0.383202499682009","1.0009493948685","20000"
"mupi_D[1,1]","0.0128860723","0.0069891634447784","0.00375797499675635","0.008085","0.01149","0.0161","0.02997","1.00099637737625","20000"
"mupi_D[1,2]","0.008148566885","0.00506425364955106","0.00197197499381766","0.00469674998003797","0.00705249998227579","0.01032","0.0207602499413119","1.00116927930949","6800"
"mupi_D[2,1]","0.1075219579","0.065792008624791","0.0244997499502417","0.0614174998473479","0.0924749998648283","0.1379","0.271902499551874","1.00138204094607","3500"
"mupi_D[2,2]","0.050984899155","0.0356216053729609","0.01045","0.02691","0.042","0.065","0.143002499148119","1.00230663121107","1100"
"sigmapi_D[1]","1.794550435","0.456018692572146","1.10397498895401","1.476","1.729","2.041","2.85602499573365","1.00098660744756","20000"
"sigmapi_D[2]","2.4851579","0.676801757753742","1.482","2.012","2.381","2.845","4.10104998811647","1.00111050878917","9300"
"rho_D","0.865226926","0.10332667185372","0.60209","0.8155","0.8897","0.940825","0.9910025","1.00095837578347","20000"
"mupi_oF","0.6699647","0.0617999023082259","0.543197499775608","0.630974998514126","0.6711","0.7108","0.788","1.00103386609914","18000"
"sigmapi_oF","1.017337055","0.29195512854081","0.580992498111449","0.812574998846213","0.9722","1.172","1.72502499293748","1.00103034898724","18000"
"test[1]","0.0379","0.190959192684363","0","0","0","0","1","1.00099827462246","20000"
"test[2]","0.00235","0.0484210153728367","0","0","0","0","0","1.00557424871072","20000"
"test[3]","0.0546","0.227203479443105","0","0","0","0","1","1.00095892255593","20000"
"test[4]","5e-05","0.00707106781186547","0","0","0","0","0","1.29097509013039","20000"
"test[5]","0.88665","0.317028078945922","0","1","1","1","1","1.00168753648643","2600"
"test[6]","0.94325","0.231370080403032","0","1","1","1","1","1.00111681741352","8900"
"test[7]","0.99955","0.0212089601583753","1","1","1","1","1","1.00606875595772","20000"
"test[8]","0.9886","0.10616309872162","1","1","1","1","1","1.00977206154115","4400"
"test[9]","0","0","0","0","0","0","0","1","1"
"test[10]","0.06185","0.240888934727072","0","0","0","0","1","1.00094903352075","20000"
"diffF_1SW","-0.2554660107415","0.157897316190282","-0.560505","-0.3601","-0.2572","-0.151975","0.0613332499999997","1.00096031237908","20000"
