"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"1994",0.582533076,0.0543124156833702,0.479997499746059,0.5459,0.5813,0.6173,0.694202499824454,1.00102688515059,39000
"1995",0.508770783,0.0607690189636427,0.3803,0.4709,0.5114,0.5496,0.6214,1.00105110462844,24000
"1996",0.536496534,0.054815271911459,0.4264,0.5009,0.5371,0.5729,0.6428,1.0010274445566,39000
"1997",0.50349729,0.0568175359407622,0.3849,0.4674,0.5056,0.5422,0.608902499799865,1.00118970580157,7500
"1998",0.530134374,0.0540996964723436,0.4205,0.49507499810622,0.5311,0.5662,0.6347,1.0010202723096,47000
"1999",0.519127285,0.0534497236714876,0.4096,0.4845,0.5204,0.555,0.620702499803669,1.00109184072222,15000
"2000",0.514073633,0.0543044434407267,0.4019,0.4792,0.5158,0.5507,0.6162,1.00108681961227,15000
"2001",0.58665424,0.0562414210577651,0.4806,0.5488,0.5847,0.6222,0.7034,1.00105879885164,21000
"2002",0.526739097,0.0566009306370318,0.4124,0.4901,0.5276,0.5645,0.6359,1.0010355255314,32000
"2003",0.513266207,0.0518870211899164,0.4064,0.4798,0.5146,0.5482,0.6117,1.00110046841729,13000
"2004",0.528708667,0.052788983174054,0.422,0.4945,0.5295,0.5638,0.6306,1.00099680017378,1e+05
"2005",0.529239368,0.0527194624097946,0.4232,0.4947,0.53,0.5647,0.6299,1.00099410721436,1e+05
"2006",0.542614938,0.0509110689676183,0.4413,0.509074998158304,0.543,0.5763,0.642202499810242,1.00107709503244,17000
"2007",0.529089055,0.0525467585767699,0.4223,0.495,0.53,0.564,0.6307,1.00099740260455,1e+05
"2008",0.513193926,0.0518561122479337,0.4071,0.4795,0.5146,0.5483,0.6119,1.00106709917122,19000
"2009",0.50357856,0.0524677746621693,0.3948,0.47,0.5054,0.5391,0.6021,1.00099134402154,1e+05
"2010",0.579035993,0.0528345175738969,0.4775,0.5436,0.578,0.6135,0.686,1.0010148678076,57000
"2011",0.534137026,0.0521943870604467,0.4299,0.4998,0.5347,0.5691,0.6352,1.00105913814231,21000
"2012",0.562288128,0.0512316583050338,0.4627,0.528,0.5619,0.5959,0.6647,1.00101669350227,53000
"2013",0.474454287,0.0554298553480908,0.3565,0.4396,0.4773,0.5126,0.5755,1.00115027718766,9300
"2014",0.549697363,0.0524887806608916,0.446,0.5149,0.5497,0.5842,0.6535,1.00103771741436,31000
"2015",0.524188372,0.0533554318547859,0.415797499706844,0.4896,0.5252,0.56,0.6266,1.00118199645247,7800
"2016",0.559606811,0.0499367070606122,0.462197499736278,0.5264,0.5593,0.5927,0.658902499815051,1.00100282240773,1e+05
"2017",0.574070622,0.056745584129043,0.4653,0.5363,0.5728,0.6103,0.690702499823565,1.00100799793444,77000
"2018",0.556118071,0.0390908749928169,0.4794,0.5299,0.5562,0.5826,0.6324,1.00104699517801,26000
"2019",0.604009998,0.0404527722104158,0.526,0.5765,0.6036,0.6308,0.684902499822071,1.00104867392645,25000
"2020",0.497497383,0.0384984096571115,0.4202,0.4719,0.4982,0.524,0.5711,1.00104291488719,28000
"2021",0.58563477,0.0383920727854023,0.5108,0.5598,0.5854,0.6112,0.6619,1.00101075196398,67000
"2022",0.557314785,0.0422511999467796,0.4744,0.5291,0.5573,0.5854,0.6409,1.00098852075325,1e+05
"2023",0.538658853,0.0627387757113906,0.4122,0.4987,0.5392,0.5799,0.660602499815526,1.00098886166375,1e+05
