"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%"
"logit_int[1]";-1.7984175;0.121894095661608;-2.041;-1.877;-1.798;-1.719;-1.559
"logit_int[2]";-1.13792217;0.162167257342159;-1.461;-1.244;-1.138;-1.032;-0.8163
"logit_flow[1]";-0.0987109204428;0.124950926868541;-0.3449;-0.1796;-0.1003;-0.01906;0.1527
"logit_flow[2]";-0.4641881268238;0.166111771202328;-0.7908025;-0.5729;-0.46475;-0.3565;-0.1329975
"sigmap[1]";0.5417846;0.100147412754028;0.3845;0.471574998011841;0.5291;0.5977;0.777
"sigmap[2]";0.686966392;0.130350447797033;0.4836;0.5949;0.67;0.759024998764917;0.9943
"rho";0.525240963968;0.177493820909644;0.1236;0.415875;0.5469;0.6545;0.8089
"l_ML_dim";2.7385765804;1.14363465105306;1.21;1.887;2.497;3.39;5.31905
"sigmap_ML_dim";0.8584083996;1.22823205521811;0.05987;0.2963;0.6054;1.05524991118654;2.897
"junk";-0.0734839536;1.49667421308941;-2.213;-0.6164;-0.05056;0.5804;2.076
"p[1,1]";0.0969498186;0.0127197443705065;0.07516;0.08783;0.09602;0.1052;0.1247
"p[2,1]";0.168209966;0.0218057851081801;0.1273;0.1536;0.1677;0.1825;0.2134
"p[3,1]";0.212789554;0.00725823446303813;0.1985;0.208;0.2129;0.2176;0.2268
"p[3,2]";0.537865804;0.0358788013177874;0.482;0.5106;0.5308;0.5645;0.6119
"p[4,1]";0.14027717;0.0109417312807786;0.1196;0.1326;0.1399;0.1478;0.1625
"p[4,2]";0.195980402;0.0146803327742188;0.1683;0.1857;0.1957;0.2058;0.2256
"p[5,1]";0.244672928;0.0221070257863558;0.2033;0.2292;0.2444;0.2595;0.2894
"p[5,2]";0.178153106;0.0345077594761243;0.1357;0.1575;0.1714;0.1888;0.2802
"p[6,1]";0.1367387916;0.0118683210630934;0.1143;0.1286;0.1365;0.1444;0.1608
"p[6,2]";0.231251858;0.0267054900987019;0.1853;0.2123;0.2292;0.2475;0.2895
"p[7,1]";0.147191968;0.00925274831355544;0.1295;0.1409;0.1471;0.1534;0.1656
"p[7,2]";0.1162377712;0.012397988318866;0.0960897499873157;0.1073;0.1145;0.124;0.1442
"p[8,1]";0.251205718;0.0195724319364333;0.2141;0.2376;0.2508;0.2643;0.2904
"p[8,2]";0.377402102;0.0268683830771742;0.3261;0.3591;0.3774;0.3958;0.4306
"p[9,1]";0.242691458;0.00653845846228431;0.2298;0.2384;0.2426;0.247;0.2557
"p[9,2]";0.5031057;0.011495283378012;0.481;0.4953;0.503;0.5107;0.5257
"p[10,1]";0.217526204;0.00640831228013348;0.2051;0.2132;0.2174;0.2218;0.2302
"p[10,2]";0.533433592;0.0123976189970765;0.5091;0.5251;0.5335;0.5418;0.5577
"p[11,1]";0.263687224;0.00754165434800814;0.2489;0.2586;0.2636;0.2688;0.2785
"p[11,2]";0.342115996;0.00923145044516464;0.3245;0.3358;0.342;0.3483;0.3603
"p[12,1]";0.147695552;0.00927988606293217;0.1303;0.1412;0.1474;0.154;0.166
"p[12,2]";0.206974074;0.0195051833492042;0.175;0.1925;0.205;0.2187;0.2501
"p[13,1]";0.162649652;0.00754659060102574;0.1484;0.1574;0.1625;0.1678;0.1774
"p[13,2]";0.33117691;0.01389307805363;0.3042;0.3214;0.331;0.3406;0.3588
"p[14,1]";0.1170320546;0.00771351499297757;0.1026;0.1117;0.1169;0.122;0.1326
"p[14,2]";0.161112078;0.0104074113883401;0.1416;0.1538;0.1609;0.1681;0.1822
"p[15,1]";0.12893175;0.00652761383143539;0.1164;0.1244;0.1289;0.1333;0.1416
"p[15,2]";0.188938326;0.00915333079195851;0.1713;0.1827;0.1888;0.1954;0.207
"p[16,1]";0.091580246;0.00485847922624887;0.08214;0.08837;0.09152;0.0948;0.1016
"p[16,2]";0.343311;0.0155475307851205;0.3124;0.3331;0.3437;0.3536;0.3736
"p[17,1]";0.068685935;0.00591013779436232;0.05756;0.06452;0.06854;0.07257;0.08091
"p[17,2]";0.204967294;0.0161606140052433;0.1751;0.1937;0.2046;0.2155;0.2388
"p[18,1]";0.0838134652;0.0088670168428927;0.06774;0.07763;0.0834149998501468;0.08944;0.1025
"p[18,2]";0.1368258838;0.0194889326326713;0.1053;0.1232;0.1348;0.1475;0.184
"p[19,1]";0.0891298582;0.0136866797078737;0.06389;0.07973;0.08838;0.09795;0.117
"p[19,2]";0.0550992228;0.0115031724385703;0.03808;0.04758;0.05346;0.06089;0.07912
"p[20,1]";0.0965887634;0.00609201237631017;0.08508;0.09253;0.09634;0.1006;0.1089
"p[20,2]";0.230136792;0.0134333375986728;0.2046;0.221;0.2299;0.239;0.2567
"p[21,1]";0.0917146402;0.00773945936607781;0.07679;0.0866;0.0916;0.09692;0.1071
"p[21,2]";0.223149272;0.0176652350077935;0.1883;0.2108;0.2232;0.235;0.2582
"epsilon[1,1]";-0.8689211508082;0.373291794662586;-1.633;-1.114;-0.8604;-0.6136;-0.1683925
"epsilon[2,1]";0.22979319660432;0.391076964288841;-0.545105;-0.0302175;0.2317;0.4919;0.9925
"epsilon[3,1]";0.7301990124442;0.349473289611394;0.04830975;0.4951;0.7294;0.966725;1.417025
"epsilon[3,2]";1.205108826082;0.43268251060711;0.392195;0.9075;1.192;1.491;2.089
"epsilon[4,1]";0.145592776834;0.349118815794081;-0.533305;-0.09014;0.1448;0.3786;0.8390025
"epsilon[4,2]";0.30664041848566;0.371856531706753;-0.424405;0.05621;0.3051;0.555825;1.038
"epsilon[5,1]";1.54076692248;0.506342732675993;0.577;1.192;1.532;1.879;2.549
"epsilon[5,2]";0.2650697202166;0.451250239339518;-0.5782;-0.0381375;0.2492;0.5468;1.204
"epsilon[6,1]";0.0759319342972;0.348557635266617;-0.6056075;-0.1586;0.07592;0.3091;0.7658
"epsilon[6,2]";0.4686951839746;0.364499483892606;-0.2341025;0.2229;0.46235;0.7095;1.192025
"epsilon[7,1]";0.4313103033365;0.501522189700794;-0.5492075;0.09542;0.4288;0.7681;1.43
"epsilon[7,2]";-0.1081784475458;0.496617789190241;-1.076;-0.4445;-0.1064;0.2287;0.8588025
"epsilon[8,1]";1.20708177164;0.375637511299316;0.4951;0.9491;1.2;1.456;1.970025
"epsilon[8,2]";0.4950304897034;0.330181415457656;-0.1432;0.2706;0.4898;0.7154;1.149
"epsilon[9,1]";0.9348449013454;0.463734001306705;0.0210897500000001;0.6219;0.9348;1.246;1.847
"epsilon[9,2]";0.5376398243402;0.471064812997877;-0.386205;0.22;0.5377;0.8534;1.462
"epsilon[10,1]";0.916916072068;0.289968311987483;0.3558975;0.7201;0.9137;1.111;1.495
"epsilon[10,2]";1.685929554;0.389400452923999;0.9555;1.417;1.67349992530624;1.943;2.478
"epsilon[11,1]";1.214523297834;0.421698904732168;0.3939975;0.932375;1.212;1.497;2.052
"epsilon[11,2]";-0.20409631598396;0.392572050136909;-0.9719025;-0.4676;-0.2035;0.05955;0.5612075
"epsilon[12,1]";0.2896371989236;0.358490333038448;-0.4038025;0.0467175;0.2883;0.530625;0.998305
"epsilon[12,2]";0.36983265292674;0.360707747466868;-0.3263025;0.125375;0.3656;0.6136;1.087
"epsilon[13,1]";0.225319985103;0.260875800354163;-0.2839;0.0492875;0.2258;0.4029;0.7362025
"epsilon[13,2]";0.398952207888;0.269626740012847;-0.1247025;0.2176;0.3971;0.5793;0.930005
"epsilon[14,1]";-0.4707253782046;0.276484318342055;-1.024;-0.6541;-0.46635;-0.2816;0.0571105
"epsilon[14,2]";-0.902010556676;0.307861286403858;-1.529025;-1.106;-0.8937;-0.6905;-0.3197
"epsilon[15,1]";-0.3037442568177;0.270826929811473;-0.8376;-0.486125;-0.30255;-0.1197;0.2231025
"epsilon[15,2]";-0.780745721722;0.30172202587481;-1.384;-0.9819;-0.7762;-0.5764;-0.201
"epsilon[16,1]";-0.842845385642;0.310911047663967;-1.464;-1.052;-0.8371;-0.6313;-0.2411975
"epsilon[16,2]";1.17079595182;0.36292811606701;0.47879;0.9232;1.161;1.411;1.903
"epsilon[17,1]";-1.8246730034;0.533680297881033;-2.899025;-2.177;-1.817;-1.461;-0.7961
"epsilon[17,2]";-1.3625317226106;0.497307631886878;-2.347;-1.697;-1.355;-1.022;-0.405495
"epsilon[18,1]";-1.02155119856;0.369154718628096;-1.771;-1.266;-1.012;-0.7668;-0.3263975
"epsilon[18,2]";-1.171655296972;0.371502538538586;-1.918;-1.42;-1.162;-0.917975;-0.4643975
"epsilon[19,1]";-0.7985629708852;0.457735404586591;-1.716;-1.103;-0.7915;-0.484875;0.0818347500000003
"epsilon[19,2]";-1.8244583023332;0.508809041681689;-2.834;-2.164;-1.819;-1.478;-0.845789999999999
"epsilon[20,1]";-0.797847225256;0.291913652521307;-1.383;-0.9895;-0.7937;-0.5988;-0.2337975
"epsilon[20,2]";0.0759500550695;0.265751510616217;-0.4425025;-0.1022;0.07548;0.255;0.594
"epsilon[21,1]";-0.991676906402;0.331363269774561;-1.663025;-1.211;-0.9841;-0.765;-0.3641
"epsilon[21,2]";-0.3025568986084;0.283188386533242;-0.8629;-0.4938;-0.3005;-0.1089;0.244205
"pi_ML_dim[1]";0.929640966;0.0545415364834076;0.8269;0.8837;0.9453;0.9783;0.9986
"pi_ML_dim[2]";0.890778042;0.110386599562055;0.54;0.8445;0.9213;0.9726;0.9983
"pi_ML_dim[3]";0.921109692;0.0647798053418559;0.7757;0.8757;0.9371;0.9765;0.9985
"pi_ML_dim[4]";0.914567452;0.0677003481333032;0.7589;0.8643;0.9286;0.9747;0.9984
"pi_ML_dim[5]";0.920910882;0.0626769722899821;0.7944;0.8716;0.9349;0.9768;0.9987
"pi_ML_dim[6]";0.908809956;0.0795057626150699;0.6835;0.8656;0.9288;0.9746;0.9983
"pi_ML_dim[7]";0.894456238;0.0973241386093218;0.6298;0.8459;0.9159;0.9719;0.9983
"p_MP[1]";0.0969498186;0.0127197443705065;0.07516;0.08783;0.09602;0.1052;0.1247
"p_MP[2]";0.168209966;0.0218057851081801;0.1273;0.1536;0.1677;0.1825;0.2134
"p_MP[3]";0.212789554;0.00725823446303813;0.1985;0.208;0.2129;0.2176;0.2268
"p_MP[4]";0.14027717;0.0109417312807786;0.1196;0.1326;0.1399;0.1478;0.1625
"p_MP[5]";0.244672928;0.0221070257863558;0.2033;0.2292;0.2444;0.2595;0.2894
"p_MP[6]";0.1367387916;0.0118683210630934;0.1143;0.1286;0.1365;0.1444;0.1608
"p_MP[7]";0.147191968;0.00925274831355544;0.1295;0.1409;0.1471;0.1534;0.1656
"p_MP[8]";0.251205718;0.0195724319364333;0.2141;0.2376;0.2508;0.2643;0.2904
"p_MP[9]";0.242691458;0.00653845846228431;0.2298;0.2384;0.2426;0.247;0.2557
"p_MP[10]";0.217526204;0.00640831228013348;0.2051;0.2132;0.2174;0.2218;0.2302
"p_MP[11]";0.263687224;0.00754165434800814;0.2489;0.2586;0.2636;0.2688;0.2785
"p_MP[12]";0.147695552;0.00927988606293217;0.1303;0.1412;0.1474;0.154;0.166
"p_MP[13]";0.162649652;0.00754659060102574;0.1484;0.1574;0.1625;0.1678;0.1774
"p_MP[14]";0.1170320546;0.00771351499297757;0.1026;0.1117;0.1169;0.122;0.1326
"p_MP[15]";0.12893175;0.00652761383143539;0.1164;0.1244;0.1289;0.1333;0.1416
"p_MP[16]";0.091580246;0.00485847922624887;0.08214;0.08837;0.09152;0.0948;0.1016
"p_MP[17]";0.068685935;0.00591013779436232;0.05756;0.06452;0.06854;0.07257;0.08091
"p_MP[18]";0.0838134652;0.0088670168428927;0.06774;0.07763;0.0834149998501468;0.08944;0.1025
"p_MP[19]";0.0891298582;0.0136866797078737;0.06389;0.07973;0.08838;0.09795;0.117
"p_MP[20]";0.0965887634;0.00609201237631017;0.08508;0.09253;0.09634;0.1006;0.1089
"p_MP[21]";0.0917146402;0.00773945936607781;0.07679;0.0866;0.0916;0.09692;0.1071
"p_ML[3]";0.498270666;0.0148034703421572;0.4691;0.4882;0.4984;0.5085;0.5266
"p_ML[4]";0.195980402;0.0146803327742188;0.1683;0.1857;0.1957;0.2058;0.2256
"p_ML[5]";0.15551866;0.0149155151187019;0.1276;0.1452;0.1551;0.1656;0.1859
"p_ML[6]";0.211869656;0.0183881003174969;0.1769;0.1991;0.2114;0.2243;0.2485
"p_ML[7]";0.105650586;0.00696623751259643;0.09233;0.1009;0.1055;0.1103;0.1195
"p_ML[8]";0.377402102;0.0268683830771742;0.3261;0.3591;0.3774;0.3958;0.4306
"p_ML[9]";0.5031057;0.011495283378012;0.481;0.4953;0.503;0.5107;0.5257
"p_ML[10]";0.533433592;0.0123976189970765;0.5091;0.5251;0.5335;0.5418;0.5577
"p_ML[11]";0.342115996;0.00923145044516464;0.3245;0.3358;0.342;0.3483;0.3603
"p_ML[12]";0.189681702;0.0116166202098759;0.1675;0.1816;0.1894;0.1976;0.2128
