"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"logit_int[1]";-1.80679255;0.116155624577347;-2.037;-1.883;-1.807;-1.731;-1.574;1.00150991758936;2700
"logit_int[2]";-0.96960721;0.164054800749318;-1.301;-1.075;-0.96715;-0.8629;-0.6503975;1.00782294860407;850
"logit_flow[1]";-0.1139130091655;0.118305537088467;-0.347405;-0.1907;-0.1146;-0.0366775;0.122305;1.00234682277136;1100
"logit_flow[2]";-0.30962413352;0.172940688748449;-0.655;-0.4228;-0.3073;-0.1966;0.02898;1.01927203695203;130
"sigmap[1]";0.52342041;0.0941551657435412;0.3782;0.456674997946968;0.5106;0.5758;0.744102499836226;1.00248160374177;980
"sigmap[2]";0.63958741;0.130836679969087;0.4351;0.547;0.6223;0.7126;0.939509997925009;1.00806013422799;210
"rho";0.53695425608;0.180667673260922;0.11669;0.427;0.5597;0.6712;0.8184;1.02436887817368;68
"l_ML_dim";1.046485863982;0.99515486059261;-0.3536125;0.432875;0.85765;1.48625;3.52507499999999;1.12404858406502;50
"sigmap_ML_dim";1.3579208515;0.907222499006994;0.1061;0.813249995388494;1.17;1.689;3.50702499652546;1.08712864605616;120
"junk";-0.0079515885;1.63310461170857;-2.886;-1.17;-0.05771;1.171;2.960025;1.00190467942966;1700
"p[1,1]";0.096953744;0.0129106915604972;0.07365;0.0877;0.0961849998700421;0.1058;0.123202499011283;1.00556495709042;340
"p[2,1]";0.1705454995;0.0218421767918138;0.129597499059128;0.1558;0.1696;0.1847;0.2158;1.01034288097439;180
"p[3,1]";0.21245233;0.00708390906629122;0.1993;0.2075;0.2124;0.2172;0.2266;1.00178986014798;1800
"p[3,2]";0.56970651;0.0584080737036721;0.4892;0.5232;0.5615;0.6062;0.7052;1.2180153700033;12
"p[4,1]";0.13980774;0.0113140757248604;0.1189;0.1319;0.1394;0.1473;0.163;1.00158786634467;2300
"p[4,2]";0.19596113;0.0153075904779104;0.1674;0.1853;0.1955;0.2062;0.2267;1.00188980571065;1600
"p[5,1]";0.242759165;0.0217263980866932;0.2014;0.2278;0.2426;0.2573;0.2867;1.00250896956061;960
"p[5,2]";0.271112455;0.103490523690808;0.1449;0.188874995035524;0.2491;0.3279;0.522902499766954;1.08310779432308;50
"p[6,1]";0.136376355;0.0121634105797602;0.1137;0.128;0.136;0.1445;0.161;1.00348335015565;590
"p[6,2]";0.27651652;0.0616595222485854;0.1926;0.2295;0.2609;0.3146;0.4216;1.00744665118108;1000
"p[7,1]";0.1480309;0.009012684928171;0.1309;0.1419;0.1478;0.1539;0.1662;1.00327227043389;650
"p[7,2]";0.1892120875;0.0624954496684263;0.1045;0.135574993083308;0.182349993145051;0.2275;0.3329;1.09346849541323;55
"p[8,1]";0.249689905;0.0195770712487059;0.2123;0.2364;0.2494;0.2626;0.2887;1.0017162372408;2000
"p[8,2]";0.375510435;0.0271064914495534;0.3225;0.3573;0.3751;0.3934;0.429802499716481;1.00156892210594;2400
"p[9,1]";0.242619255;0.00653121800167505;0.2298;0.2382;0.2426;0.247;0.2556;1.00262200145967;900
"p[9,2]";0.50271676;0.0114991756510818;0.4803;0.4952;0.5026;0.5104;0.5255;1.00272813443483;840
"p[10,1]";0.217632865;0.0065027737693318;0.2051;0.2132;0.2175;0.222;0.2306;1.00187520746042;1600
"p[10,2]";0.53373825;0.0125845880953799;0.509097499760576;0.5252;0.5336;0.5422;0.5584;1.00259318580707;910
"p[11,1]";0.26310798;0.00757245854567863;0.2482;0.258;0.2631;0.2682;0.2781;1.00210821893742;1300
"p[11,2]";0.34144776;0.00925690047978937;0.3231;0.3352;0.3415;0.3477;0.3596;1.00223192678524;1200
"p[12,1]";0.148250405;0.00955048048109863;0.1301;0.1417;0.1481;0.1547;0.1672;1.00253720647894;4200
"p[12,2]";0.25947349;0.0572822555776228;0.183;0.2171;0.2465;0.2871;0.398302499694062;1.00362331364433;1300
"p[13,1]";0.16264386;0.00743066302815919;0.1482;0.1576;0.1626;0.1676;0.1772;1.00180912877614;1700
"p[13,2]";0.3313511;0.013514084553312;0.3051;0.3222;0.3312;0.3401;0.358502499660104;1.00142263460345;3200
"p[14,1]";0.1171301105;0.00792826841086939;0.1021;0.1118;0.1169;0.1222;0.1337;1.00104540282658;15000
"p[14,2]";0.161393395;0.0106732590522724;0.141;0.1541;0.1611;0.1684;0.1832;1.00108761443824;11000
"p[15,1]";0.128995825;0.00658632811627828;0.1164;0.124574992472399;0.129;0.1334;0.1422;1.0013309006017;3900
"p[15,2]";0.18911446;0.00927605035367468;0.1711;0.1828;0.1891;0.1953;0.2077;1.00118406030056;6400
"p[16,1]";0.0916371275;0.0047802998040975;0.0824797499852225;0.08837;0.09158;0.0949024999012178;0.1012;1.00308064291216;710
"p[16,2]";0.343618185;0.0151652466857987;0.3141;0.3333;0.3437;0.3537;0.3736;1.00362529785524;960
"p[17,1]";0.0690582555;0.00594752022708308;0.0579697499789738;0.06492;0.0689049998185908;0.07291;0.0811902499849901;1.00157998237407;3100
"p[17,2]";0.205826225;0.0163450635913283;0.1753;0.1945;0.2055;0.2167;0.2388;1.00269266628481;3900
"p[18,1]";0.084071519;0.00867612072969163;0.0679997499820755;0.07804;0.08377;0.08969;0.1021;1.01193392318869;520
"p[18,2]";0.210855137;0.0729611128763867;0.116;0.1538;0.1929;0.2554;0.380302499679585;1.27285145673159;10
"p[19,1]";0.0858837755;0.0137872485410149;0.0614297499801582;0.07639;0.0850349998530017;0.09414;0.1167;1.01009464770922;220
"p[19,2]";0.125851109;0.0728253211261713;0.04474;0.06826;0.1056;0.1666;0.306;1.01760760446213;98
"p[20,1]";0.096681492;0.00606732542689345;0.08524;0.09247;0.09655;0.1007;0.1091;1.00255118517002;940
"p[20,2]";0.23050358;0.013382808493054;0.2047;0.2216;0.2302;0.2393;0.257602499527003;1.00201443986478;1400
"p[21,1]";0.092094848;0.00757063025507249;0.0779797499843697;0.08684;0.09193;0.09712;0.1076;1.00096929638967;20000
"p[21,2]";0.224010775;0.0172258461588443;0.1917;0.2121;0.2238;0.2356;0.2593;1.00094874810193;20000
"p[22,1]";0.12270164;0.00567023155494503;0.112;0.1188;0.1226;0.1264;0.1343;1.00119568636524;6100
