"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"logit_int[1]","-1.8238544","0.112926227086393","-2.047","-1.897","-1.824","-1.75","-1.601","1.00101786715627","51000"
"logit_int[2]","-0.9819434021","0.175377566801938","-1.326","-1.097","-0.9827","-0.8679","-0.6326","1.0021697967965","1300"
"logit_flow[1]","-0.07229396272684","0.114023986976028","-0.2964","-0.1467","-0.072895","0.0015195","0.1555","1.00098919328553","1e+05"
"logit_flow[2]","-0.24342316356999","0.185757362395502","-0.6023025","-0.3674","-0.2461","-0.1224","0.131002499999999","1.00695053356759","250"
"sigmap[1]","0.522364668","0.0898926506603082","0.3797","0.4586","0.511","0.5733","0.7306","1.00099009897398","1e+05"
"sigmap[2]","0.663033204","0.132607242307883","0.4545","0.5689","0.6457","0.7383","0.968604999496763","1.00943048966335","180"
"rho","0.5785085187776","0.167075860103207","0.1911","0.481","0.60285","0.701","0.8354","1.00263992681689","910"
"l_ML_dim","1.0619870926637","0.988024110480491","-0.5034025","0.412975","0.9547","1.55","3.394","1.00222217728393","1200"
"sigmap_ML_dim","1.31235709205","1.11348834587642","0.07963","0.670074998600833","1.109","1.6642499436796","3.813","1.02810472448204","96"
"junk","-0.00711656365","1.72107641040585","-3.074","-1.111","0.01472","1.107","3.058","1.00258525959901","54000"
"p[1,1]","0.0964492049","0.0128449536318024","0.07318","0.0874274998927642","0.09584","0.1048","0.1234","1.0012762390468","5200"
"p[2,1]","0.1687141895","0.0214013460829741","0.1289","0.1539","0.167949992557309","0.1828","0.2127","1.00103368631971","33000"
"p[3,1]","0.212036625","0.00705481091262871","0.1983","0.2073","0.212","0.2168","0.2261","1.00128753096005","5000"
"p[3,2]","0.574622597","0.0684969187829235","0.487","0.5227","0.559","0.6117","0.754202499838418","1.07265156050771","44"
"p[4,1]","0.1395738014","0.011145828206653","0.1185","0.1319","0.1393","0.1469","0.1623","1.00102834295729","38000"
"p[4,2]","0.195696132","0.0151338065786368","0.167","0.1853","0.1954","0.2057","0.2262","1.00110432936315","13000"
"p[5,1]","0.243796167","0.021755275036828","0.2024","0.2289","0.2432","0.2582","0.2881","1.00100424896925","95000"
"p[5,2]","0.281661736","0.11895436574955","0.1477","0.1909","0.2453","0.3427","0.587","1.00524759240341","350"
"p[6,1]","0.1364464137","0.0121468824957269","0.1135","0.1281","0.1362","0.1444","0.1612","1.00099176676699","1e+05"
"p[6,2]","0.28280171","0.0692787572661201","0.195","0.2335","0.2662","0.315","0.4626","1.00126061696109","5500"
"p[7,1]","0.147302438","0.00916099924108866","0.1299","0.141","0.1472","0.1534","0.1657","1.00121753573724","6600"
"p[7,2]","0.1997379997","0.0967562153780518","0.1037","0.1293","0.1677","0.2408","0.4723","1.01132706809601","150"
"p[8,1]","0.248875073","0.0197274121580246","0.2114","0.2354","0.2485","0.2619","0.2887","1.00110876320091","12000"
"p[8,2]","0.374799413","0.0272749454698251","0.3224","0.3561","0.3745","0.3931","0.429102499716018","1.00122833634929","6300"
"p[9,1]","0.24261938","0.00659085942877559","0.2298","0.2382","0.2426","0.247","0.2556","1.00099483605061","1e+05"
"p[9,2]","0.502758485","0.0114807159826019","0.4803","0.495","0.5027","0.5105","0.5252","1.00104961464499","25000"
"p[10,1]","0.21771112","0.00654895998112436","0.205","0.2133","0.2177","0.2221","0.2307","1.00104342839148","27000"
"p[10,2]","0.533775873","0.0126243504755738","0.5089","0.5253","0.5339","0.5423","0.5584","1.00106475136566","20000"
"p[11,1]","0.263048825","0.0074960529832358","0.2485","0.258","0.263","0.2681","0.2779","1.00106514658396","20000"
"p[11,2]","0.341532908","0.00921642880345391","0.3236","0.3353","0.3415","0.3477","0.3597","1.00103628988095","31000"
"p[12,1]","0.148248715","0.00949957556778905","0.13","0.1418","0.1481","0.1546","0.1674","1.00100410533502","96000"
"p[12,2]","0.265605565","0.0706491679935451","0.1827","0.2141","0.247","0.2978","0.4565","1.00118957789369","7500"
"p[13,1]","0.162518035","0.00733398795421482","0.1484","0.1576","0.1624","0.1674","0.1772","1.00099091433897","1e+05"
"p[13,2]","0.331139743","0.0133661484479709","0.3052","0.3221","0.3311","0.3402","0.3576","1.00098852268202","1e+05"
"p[14,1]","0.1170712806","0.00765926613479652","0.1024","0.1119","0.1169","0.1221","0.1325","1.00114583734421","9500"
"p[14,2]","0.161309827","0.0102925095233181","0.1415","0.1543","0.1612","0.1682","0.182","1.00130836462761","4700"
"p[15,1]","0.129005702","0.00649066768328696","0.1165","0.1246","0.1289","0.1333","0.1419","1.00119150156951","7400"
"p[15,2]","0.189184677","0.00917787533362855","0.1716","0.1829","0.1891","0.1953","0.2075","1.00119726177899","7200"
"p[16,1]","0.0917730739","0.00482858857315623","0.08254","0.08847","0.0917","0.09501","0.1015","1.00102469096059","41000"
"p[16,2]","0.344051596","0.0154339756617934","0.3141","0.3336","0.3439","0.3543","0.3747","1.00108877577237","15000"
"p[17,1]","0.0684193527","0.0058360104857845","0.05751","0.06437","0.0682449998168364","0.07228","0.08025","1.00136801303384","4000"
"p[17,2]","0.203816578","0.0159935690298451","0.1736","0.1927","0.2034","0.2144","0.2362","1.00139771101867","3700"
"p[18,1]","0.0839468723","0.00868318627611614","0.06777","0.07797","0.08362","0.08968","0.1017","1.00101897458491","49000"
"p[18,2]","0.189276747","0.0622608469773794","0.1142","0.1442","0.1725","0.2184","0.3521","1.00118947318463","7500"
"p[19,1]","0.0862963534","0.0132290870596482","0.06228","0.07702","0.08563","0.09487","0.1139","1.00107973481274","16000"
"p[19,2]","0.1317530532","0.0848103797299898","0.0435297499719978","0.06683","0.1061","0.172","0.354","1.01871752315577","93"
"p[20,1]","0.0967535255","0.00599965325383404","0.08531","0.09264","0.09664","0.1007","0.1089","1.00136666811164","4000"
"p[20,2]","0.230677004","0.0131721698001717","0.2053","0.2217","0.2304","0.2395","0.2569","1.00152958436193","2800"
"p[21,1]","0.0918529991","0.00786162735763063","0.07711","0.08641","0.09165","0.09706","0.1079","1.00098882568029","1e+05"
"p[21,2]","0.22345897","0.0178687418991509","0.1897","0.2112","0.223","0.2354","0.2596","1.00098866749869","1e+05"
"p[22,1]","0.1228690095","0.00574312324842121","0.1117","0.119","0.1228","0.1267","0.1343","1.00115992683858","8800"
"p[22,2]","0.327839305","0.0134290854498858","0.3017","0.3188","0.3278","0.3369","0.3543","1.00121832376089","6500"
"p[23,1]","0.101806092","0.00815517379766567","0.08628","0.09625","0.1016","0.1072","0.1182","1.00112357245562","11000"
"p[23,2]","0.21513786","0.0161065152351069","0.1843","0.2041","0.2149","0.2259","0.2473","1.00109668055273","14000"
"epsilon[1,1]","-0.8414653561229","0.369728135097525","-1.601","-1.083","-0.8301","-0.5879","-0.1471","1.00108707460885","15000"
"epsilon[2,1]","0.34364091974408","0.381400212253203","-0.4032","0.089045","0.3432","0.5984","1.098","1.00105809670649","22000"
"epsilon[3,1]","0.8634542009878","0.335311035866318","0.2116975","0.6363","0.8627","1.089","1.523","1.00098855742341","1e+05"
"epsilon[3,2]","1.63142143414","0.519926421710864","0.7099975","1.271","1.598","1.951","2.76","1.01399498424822","210"
"epsilon[4,1]","0.14413695830437","0.344971219107627","-0.5307","-0.0861725","0.143","0.3757","0.824702499999999","1.00098855457156","1e+05"
"epsilon[4,2]","-0.2785776398706","0.477840418056901","-1.269","-0.5915","-0.2591","0.05384","0.602607499999998","1.00818912191758","210"
"epsilon[5,1]","1.560772411811","0.490252099617243","0.618195","1.226","1.554","1.888","2.539","1.00100699593188","81000"
"epsilon[5,2]","0.45371940343058","0.731365281785263","-0.7844","-0.056025","0.3695","0.8918","2.099","1.00191651948392","1600"
"epsilon[6,1]","0.08240108203898","0.347033308907338","-0.601805","-0.151","0.083495","0.3164","0.758502499999999","1.00100452737403","94000"
"epsilon[6,2]","0.3598095542882","0.524898320039588","-0.6372075","0.0141125","0.3462","0.6866","1.447","1.00422893429028","520"
"epsilon[7,1]","0.4008885034751","0.479565837831714","-0.5367025","0.0764275","0.3998","0.724525","1.34302499999999","1.00099505754751","1e+05"
"epsilon[7,2]","-0.08940106974916","0.704643889210804","-1.372","-0.5627","-0.1263","0.3351","1.449","1.00342688363103","620"
"epsilon[8,1]","1.31882078208","0.370544643355927","0.6175975","1.066","1.31","1.562","2.071","1.00099250584889","1e+05"
"epsilon[8,2]","0.5106473512935","0.325934812562621","-0.1140025","0.290175","0.5049","0.7259","1.165","1.00285862831515","800"
"epsilon[9,1]","1.1181640321041","0.441169898852103","0.2618975","0.819175","1.118","1.415","1.98802499999999","1.00100520344009","90000"
"epsilon[9,2]","0.94671766985196","0.487699035489913","0.00738227500000001","0.6164","0.9387","1.271","1.925","1.00868081116504","200"
"epsilon[10,1]","1.027832710966","0.284483425075685","0.4784975","0.8337","1.024","1.217","1.593","1.0009954762516","1e+05"
"epsilon[10,2]","1.6491053142","0.40038225832553","0.8998","1.374","1.637","1.913","2.468","1.00662293359886","360"
"epsilon[11,1]","1.381583350456","0.407924731220231","0.5902975","1.105","1.379","1.655","2.192","1.00102189833958","45000"
"epsilon[11,2]","0.03928590639182","0.367075252488508","-0.6849025","-0.207925","0.03765","0.2874","0.7566","1.00353820227574","590"
"epsilon[12,1]","0.30553404175669","0.353517254122412","-0.3801","0.066375","0.3036","0.542925","1.004","1.00101528847131","56000"
"epsilon[12,2]","0.27946771147694","0.53711261039479","-0.7299","-0.0788225","0.2614","0.6134","1.407","1.00512071302483","1200"
"epsilon[13,1]","0.3122156172136","0.250716703981763","-0.1764025","0.1427","0.3109","0.4808","0.806202499999999","1.00101554382779","56000"
"epsilon[13,2]","0.32205463474054","0.270386557531967","-0.2091","0.14","0.3214","0.5031","0.8553","1.00100270385904","1e+05"
"epsilon[14,1]","-0.41473896057582","0.266152057211879","-0.9492025","-0.5909","-0.4118","-0.233","0.0966402499999999","1.0009926209266","1e+05"
"epsilon[14,2]","-1.093100075169","0.350759648731495","-1.817","-1.322","-1.078","-0.8494","-0.447697500000001","1.00629038147677","280"
"epsilon[15,1]","-0.22840741793361","0.256199011425417","-0.7338","-0.4012","-0.228","-0.0545","0.269407499999998","1.00112085727006","11000"
"epsilon[15,2]","-0.879544594983","0.315884578977041","-1.523","-1.087","-0.8715","-0.6632","-0.2838","1.00486838239561","390"
"epsilon[16,1]","-0.8389546210185","0.302300868208858","-1.445","-1.04","-0.8353","-0.6327","-0.256997500000001","1.00102004506094","48000"
"epsilon[16,2]","0.7748052931417","0.39655271981922","-0.00576219999999995","0.5091","0.77825","1.043","1.543","1.00247179752161","1000"
"epsilon[17,1]","-1.75271812093","0.486798011843474","-2.724","-2.075","-1.746","-1.421","-0.810595000000001","1.00101032074259","69000"
"epsilon[17,2]","-1.121398057772","0.454855275056809","-2.033","-1.424","-1.115","-0.8107","-0.245","1.00112601725137","11000"
"epsilon[18,1]","-1.02827666093","0.362295895780858","-1.764","-1.265","-1.019","-0.780175","-0.346397500000001","1.0010247702842","41000"
"epsilon[18,2]","-0.8281036659066","0.582463203550478","-1.864","-1.215","-0.8778","-0.490775","0.482204999999999","1.00176577499537","3400"
"epsilon[19,1]","-0.9010697237642","0.455756747951156","-1.821","-1.202","-0.8925","-0.5906","-0.0302765000000008","1.00106261220724","20000"
"epsilon[19,2]","-1.2079831484583","0.888432834371844","-2.711","-1.843","-1.303","-0.6502","0.732302499999999","1.01004645128637","170"
"epsilon[20,1]","-0.773797689293","0.282889363250539","-1.342","-0.9624","-0.7694","-0.5807","-0.235497500000001","1.00101701656884","53000"
"epsilon[20,2]","-0.23415274059076","0.327126342078984","-0.9015","-0.4501","-0.225","-0.00857575","0.381202499999999","1.0049021837014","380"
"epsilon[21,1]","-0.950325624098","0.31649326341602","-1.595","-1.159","-0.942","-0.7331","-0.357397500000001","1.00100063358939","1e+05"
"epsilon[21,2]","-0.466639553248","0.311069760386605","-1.097","-0.6718","-0.4587","-0.2511","0.1151","1.00378281403731","540"
"epsilon[22,1]","-0.2190336869862","0.255937411514212","-0.723705","-0.391","-0.2173","-0.046715","0.2788","1.0010850223701","16000"
"epsilon[22,2]","0.5983851573709","0.356935109401287","-0.1068025","0.3591","0.6016","0.8406","1.288","1.00273350548076","860"
"epsilon[23,1]","-0.9312262737676","0.458155125495068","-1.835","-1.24","-0.9265","-0.6203","-0.0438052500000011","1.00104145662393","28000"
"epsilon[23,2]","-1.1011883901719","0.494256165113161","-2.085","-1.432","-1.096","-0.7652","-0.144697500000001","1.00117670315563","8000"
"pi_ML_dim[1]","0.874601274","0.0924269384885516","0.6556","0.813074998846923","0.8895","0.9515","0.9981","1.081279766707","41"
"pi_ML_dim[2]","0.630955901","0.213809320483541","0.2625","0.4524","0.6334","0.8103","0.9892","1.00548388193009","340"
"pi_ML_dim[3]","0.78057085","0.149669282131029","0.4576","0.6773","0.7982","0.9043","0.9963","1.00135570922611","4100"
"pi_ML_dim[4]","0.62560979","0.223468246045217","0.2216","0.437374997856367","0.6309","0.8153","0.9901","1.01109292686863","150"
"pi_ML_dim[5]","0.756796312","0.160679013046667","0.4193","0.6404","0.7722","0.8891","0.9958","1.00120836617604","6800"
"pi_ML_dim[6]","0.704681665","0.18208682399845","0.3497","0.5683","0.719","0.8522","0.993102499877286","1.00124460596346","5900"
"pi_ML_dim[7]","0.490244755","0.254814520651291","0.128","0.2685","0.4402","0.7139","0.9729","1.019686364033","88"
"p_MP[1]","0.0964492049","0.0128449536318024","0.07318","0.0874274998927642","0.09584","0.1048","0.1234","1.0012762390468","5200"
"p_MP[2]","0.1687141895","0.0214013460829741","0.1289","0.1539","0.167949992557309","0.1828","0.2127","1.00103368631971","33000"
"p_MP[3]","0.212036625","0.00705481091262871","0.1983","0.2073","0.212","0.2168","0.2261","1.00128753096005","5000"
"p_MP[4]","0.1395738014","0.011145828206653","0.1185","0.1319","0.1393","0.1469","0.1623","1.00102834295729","38000"
"p_MP[5]","0.243796167","0.021755275036828","0.2024","0.2289","0.2432","0.2582","0.2881","1.00100424896925","95000"
"p_MP[6]","0.1364464137","0.0121468824957269","0.1135","0.1281","0.1362","0.1444","0.1612","1.00099176676699","1e+05"
"p_MP[7]","0.147302438","0.00916099924108866","0.1299","0.141","0.1472","0.1534","0.1657","1.00121753573724","6600"
"p_MP[8]","0.248875073","0.0197274121580246","0.2114","0.2354","0.2485","0.2619","0.2887","1.00110876320091","12000"
"p_MP[9]","0.24261938","0.00659085942877559","0.2298","0.2382","0.2426","0.247","0.2556","1.00099483605061","1e+05"
"p_MP[10]","0.21771112","0.00654895998112436","0.205","0.2133","0.2177","0.2221","0.2307","1.00104342839148","27000"
"p_MP[11]","0.263048825","0.0074960529832358","0.2485","0.258","0.263","0.2681","0.2779","1.00106514658396","20000"
"p_MP[12]","0.148248715","0.00949957556778905","0.13","0.1418","0.1481","0.1546","0.1674","1.00100410533502","96000"
"p_MP[13]","0.162518035","0.00733398795421482","0.1484","0.1576","0.1624","0.1674","0.1772","1.00099091433897","1e+05"
"p_MP[14]","0.1170712806","0.00765926613479652","0.1024","0.1119","0.1169","0.1221","0.1325","1.00114583734421","9500"
"p_MP[15]","0.129005702","0.00649066768328696","0.1165","0.1246","0.1289","0.1333","0.1419","1.00119150156951","7400"
"p_MP[16]","0.0917730739","0.00482858857315623","0.08254","0.08847","0.0917","0.09501","0.1015","1.00102469096059","41000"
"p_MP[17]","0.0684193527","0.0058360104857845","0.05751","0.06437","0.0682449998168364","0.07228","0.08025","1.00136801303384","4000"
"p_MP[18]","0.0839468723","0.00868318627611614","0.06777","0.07797","0.08362","0.08968","0.1017","1.00101897458491","49000"
"p_MP[19]","0.0862963534","0.0132290870596482","0.06228","0.07702","0.08563","0.09487","0.1139","1.00107973481274","16000"
"p_MP[20]","0.0967535255","0.00599965325383404","0.08531","0.09264","0.09664","0.1007","0.1089","1.00136666811164","4000"
"p_MP[21]","0.0918529991","0.00786162735763063","0.07711","0.08641","0.09165","0.09706","0.1079","1.00098882568029","1e+05"
"p_MP[22]","0.1228690095","0.00574312324842121","0.1117","0.119","0.1228","0.1267","0.1343","1.00115992683858","8800"
"p_MP[23]","0.101806092","0.00815517379766567","0.08628","0.09625","0.1016","0.1072","0.1182","1.00112357245562","11000"
"p_ML[3]","0.496484191","0.0143839819996029","0.4683","0.4867","0.4965","0.5062","0.5247","1.00148846384181","3000"
"p_ML[4]","0.195696132","0.0151338065786368","0.167","0.1853","0.1954","0.2057","0.2262","1.00110432936315","13000"
"p_ML[5]","0.1547094932","0.0145751765183431","0.1272","0.1447","0.1544","0.164324994295999","0.1842","1.00100139612346","1e+05"
"p_ML[6]","0.211417151","0.0186318367746343","0.1763","0.1986","0.211","0.2238","0.2492","1.00100351140912","1e+05"
"p_ML[7]","0.1056804649","0.00691160570806832","0.0925397499868291","0.1009","0.1055","0.1103","0.1196","1.00113482915839","10000"
"p_ML[8]","0.374799413","0.0272749454698251","0.3224","0.3561","0.3745","0.3931","0.429102499716018","1.00122833634929","6300"
"p_ML[9]","0.502758485","0.0114807159826019","0.4803","0.495","0.5027","0.5105","0.5252","1.00104961464499","25000"
"p_ML[10]","0.533775873","0.0126243504755738","0.5089","0.5253","0.5339","0.5423","0.5584","1.00106475136566","20000"
"p_ML[11]","0.341532908","0.00921642880345391","0.3236","0.3353","0.3415","0.3477","0.3597","1.00103628988095","31000"
"p_ML[12]","0.19043528","0.0119399561534844","0.1675","0.1823","0.1903","0.1984","0.2144","1.00098956275493","1e+05"
"p_ML[13]","0.331139743","0.0133661484479709","0.3052","0.3221","0.3311","0.3402","0.3576","1.00098852268202","1e+05"
"p_ML[14]","0.161309827","0.0102925095233181","0.1415","0.1543","0.1612","0.1682","0.182","1.00130836462761","4700"
"p_ML[15]","0.189184677","0.00917787533362855","0.1716","0.1829","0.1891","0.1953","0.2075","1.00119726177899","7200"
"p_ML[16]","0.344051596","0.0154339756617934","0.3141","0.3336","0.3439","0.3543","0.3747","1.00108877577237","15000"
"p_ML[17]","0.203816578","0.0159935690298451","0.1736","0.1927","0.2034","0.2144","0.2362","1.00139771101867","3700"
"p_ML[18]","0.1231572965","0.012404260882252","0.09994","0.1146","0.1228","0.1314","0.1485","1.0010022393396","1e+05"
"p_ML[19]","0.046800556","0.00739090715027249","0.03346","0.0416","0.04638","0.05156","0.06238","1.00109594441556","14000"
"p_ML[20]","0.230677004","0.0131721698001717","0.2053","0.2217","0.2304","0.2395","0.2569","1.00152958436193","2800"
