model is syntactically correct
data loaded
model compiled
initial values loaded but chain contains uninitialized variables
initial values loaded but chain contains uninitialized variables
initial values generated, model initialized
model is updating
1000 updates took 44 s
model is updating
5000 updates took 223 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	d_Sc_pred[1,1]	2.975	1.303	1.157	2.741	5.986	10000
	d_Sc_pred[1,2]	7.356	3.257	2.746	6.788	14.81	10000
	d_Sc_pred[1,3]	4.577	2.239	1.577	4.117	10.08	10000
	d_Sc_pred[1,4]	4.314	1.56	1.925	4.102	7.973	10000
	d_Sc_pred[1,5]	1.763	0.7055	0.7444	1.638	3.466	10000
	d_Sc_pred[1,6]	2.171	1.073	0.7424	1.935	4.819	10000
	d_Sc_pred[1,7]	2.653	1.242	0.9712	2.412	5.733	10000
	d_Sc_pred[1,8]	4.084	1.511	1.859	3.848	7.565	10000
	d_Sc_pred[1,9]	1.256	0.7001	0.4123	1.077	3.099	10000
	d_Sc_pred[1,10]	4.072	1.386	1.965	3.88	7.344	10000
	d_Sc_pred[1,11]	3.986	1.558	1.686	3.74	7.715	10000
	d_Sc_pred[1,12]	7.2	2.503	3.264	6.897	12.88	10000
	d_Sc_pred[1,13]	3.169	1.141	1.481	3.006	5.846	10000
	d_Sc_pred[1,14]	2.231	0.806	1.022	2.112	4.091	10000
	d_Sc_pred[1,15]	4.715	1.746	2.107	4.438	9.057	10000
	d_Sc_pred[1,16]	4.495	1.538	2.128	4.284	8.119	10000
	d_Sc_pred[1,17]	2.84	1.004	1.334	2.688	5.25	10000
	d_Sc_pred[1,18]	4.071	1.387	1.922	3.859	7.301	10000
	d_Sc_pred[1,19]	3.254	1.205	1.441	3.076	5.93	10000
	d_Sc_pred[1,20]	9.921	3.633	4.387	9.446	18.19	10000
	d_Sc_pred[1,21]	5.609	1.828	2.783	5.337	9.741	10000
	d_Sc_pred[1,22]	3.878	1.371	1.828	3.668	7.168	10000
	d_Sc_pred[1,23]	5.876	2.159	2.684	5.526	10.92	10000
	d_Sc_pred[1,24]	2.773	1.011	1.265	2.607	5.119	10000
	d_Sc_pred[1,25]	3.278	1.189	1.488	3.093	6.153	10000
	d_Sc_pred[2,1]	4.335	2.274	1.583	3.842	9.68	10000
	d_Sc_pred[2,2]	8.399	3.133	3.539	7.943	15.82	10000
	d_Sc_pred[2,3]	2.7	1.013	1.196	2.558	5.005	10000
	d_Sc_pred[2,4]	4.246	1.377	2.097	4.047	7.341	10000
	d_Sc_pred[2,5]	3.277	1.176	1.511	3.098	6.084	10000
	d_Sc_pred[2,6]	2.889	1.172	1.189	2.684	5.675	10000
	d_Sc_pred[2,7]	7.576	3.749	2.53	6.843	16.75	10000
	d_Sc_pred[2,8]	11.32	3.633	5.426	10.93	19.17	10000
	d_Sc_pred[2,9]	1.336	0.5412	0.5451	1.249	2.644	10000
	d_Sc_pred[2,10]	7.469	2.243	3.857	7.165	12.45	10000
	d_Sc_pred[2,11]	4.282	1.61	1.915	4.024	8.152	10000
	d_Sc_pred[2,12]	7.416	2.333	3.714	7.143	12.7	10000
	d_Sc_pred[2,13]	6.139	1.977	2.997	5.884	10.55	10000
	d_Sc_pred[2,14]	4.094	1.343	2.038	3.907	7.106	10000
	d_Sc_pred[2,15]	11.16	3.494	5.488	10.84	18.96	10000
	d_Sc_pred[2,16]	9.698	2.876	4.881	9.37	16.23	10000
	d_Sc_pred[2,17]	8.34	2.417	4.372	8.047	13.64	10000
	d_Sc_pred[2,18]	7.106	2.127	3.718	6.86	11.8	10000
	d_Sc_pred[2,19]	9.816	2.733	5.301	9.558	15.87	10000
	d_Sc_pred[2,20]	16.83	5.376	8.137	16.08	28.8	10000
	d_Sc_pred[2,21]	7.195	2.135	3.792	6.947	11.77	10000
	d_Sc_pred[2,22]	10.51	3.131	5.357	10.21	17.67	10000
	d_Sc_pred[2,23]	16.91	5.097	8.878	16.28	28.21	10000
	d_Sc_pred[2,24]	5.502	1.742	2.774	5.277	9.441	10000
	d_Sc_pred[2,25]	7.11	2.228	3.586	6.823	12.19	10000
	d_Sc_pred[3,1]	6.872	2.522	3.186	6.475	12.63	10000
	d_Sc_pred[3,2]	8.48	3.114	3.915	7.967	16.09	10000
	d_Sc_pred[3,3]	6.016	2.036	2.965	5.692	10.65	10000
	d_Sc_pred[3,4]	8.395	2.453	4.517	8.098	13.81	10000
	d_Sc_pred[3,5]	10.86	3.39	5.465	10.42	18.45	10000
	d_Sc_pred[3,6]	7.064	2.6	3.048	6.687	13.28	10000
	d_Sc_pred[3,7]	12.14	5.014	4.81	11.25	23.91	10000
	d_Sc_pred[3,8]	11.48	3.406	6.11	11.02	18.93	10000
	d_Sc_pred[3,9]	2.414	0.9175	1.066	2.265	4.625	10000
	d_Sc_pred[3,10]	14.13	3.746	7.971	13.75	22.33	10000
	d_Sc_pred[3,11]	9.646	3.374	4.64	9.138	17.53	10000
	d_Sc_pred[3,12]	16.47	4.382	9.202	15.94	26.71	10000
	d_Sc_pred[3,13]	12.36	3.69	6.506	11.79	20.95	10000
	d_Sc_pred[3,14]	6.655	2.019	3.517	6.363	11.04	10000
	d_Sc_pred[3,15]	19.85	5.641	10.63	19.08	31.71	10000
	d_Sc_pred[3,16]	17.53	4.554	9.959	17.04	27.27	10000
	d_Sc_pred[3,17]	15.3	4.015	8.701	14.99	24.17	10000
	d_Sc_pred[3,18]	12.18	3.34	6.747	11.79	18.41	10000
	d_Sc_pred[3,19]	23.08	5.667	14.1	22.41	36.37	10000
	d_Sc_pred[3,20]	29.17	8.367	15.64	28.42	49.11	10000
	d_Sc_pred[3,21]	16.94	4.42	9.641	16.47	26.63	10000
	d_Sc_pred[3,22]	21.01	5.462	11.85	20.42	32.58	10000
	d_Sc_pred[3,23]	21.67	6.197	11.94	20.89	35.28	10000
	d_Sc_pred[3,24]	15.11	4.031	8.391	14.74	23.79	10000
	d_Sc_pred[3,25]	18.63	4.883	10.65	18.04	29.24	10000
