## PAS DE MISE A JOUR
## Il s'agit ici des donnees d'intercalibration (donn?es de l'article de Pr?vost & Nihouarn 1999)
## C1 is the number fo fish captured during the first pass of successive removals				
## C2 is the number fo fish captured during the second pass of successive removals				
## S is the surface of each station in 100 m? euivalent rapid				
## CPUE is the number of fish captured during CPUE
## Width is the mean width of each station in meter				
C1[]	C2[]	S[]	CPUE[]	Width[]
61	9	2.19	40	1.5
48	6	2.19	39	1.5
8	0	2.19	1	1.5
0	0	2.19	0	1.5
30	12	2	21	2
3	0	1.64	2	2.86
4	0	1.64	4	2.86
50	6	1.64	23	2.86
2	0	1.72	8	3.36
17	2	1.72	38	3.36
0	0	1.72	3	3.36
3	2	5.32	6	3.8
66	16	5.32	37	3.8
5	1	3.4	4	3.9
32	11	3.4	18	3.9
79	15	3.4	51	3.9
19	3	5.6364	11	4.27
2	1	3.55	1	4.65
9	1	3.55	3	4.65
23	6	3.55	18	4.65
15	2	3.55	17	4.65
70	17	3.55	48	4.65
13	6	6.016	14	4.7
3	0	6.656	4	5.2
152	41	8.9424	62	5.52
3	2	8.584	4	5.92
49	28	8.584	23	5.92
41	8	4.758	28	6.1
25	8	7.5625	21	6.25
156	12	3.23215	110	6.34
28	8	9.398	22	6.35
50	12	7.4295	19	6.35
54	19	5.175	25	6.9
52	21	4.935	47	7.05
109	40	9.24	95	7.7
180	58	7.8	100	7.8
5	1	7.44	2	8
6	0	9.35	5	8.5
8	5	13.0615	8	8.65
15	7	5.76	24	9
35	8	6.608	67	11.2
74	15	6.78	20	11.3
15	8	6.78	16	11.3
132	31	4.9585	86	11.95
70	10	6.84	42	12
44	3	13.32	27	12
50	8	6.944	22	12.4
170	50	12.255	55	12.9
0	0	15.08	0	13
62	17	15.99	16	13
45	4	13.311	8	15.3
66	15	15.47	9	17
#END				
