"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"int_width";-0.1546787687166;0.194829683286248;-0.5414025;-0.2819;-0.15195;-0.0229425;0.214119999999998;1.00313340278289;690
"width_coef";0.415061558;0.096076970186318;0.227197499463423;0.3516;0.4155;0.4782;0.6048;1.00114469440572;7700
"rate_lcpu";0.64231709;0.366898668545664;0.256197499524175;0.422674997781809;0.5576;0.757924998763125;1.553;1.00285037841077;790
"sigma_dSc";0.41084179;0.0461412710969347;0.3196;0.3801;0.4107;0.4415;0.5017;1.00209127010692;1300
"int_ydSc";1.822575;0.155949158324112;1.522;1.716;1.821;1.924;2.137;1.00170133175204;8700
"log_flow";-0.472712585605;0.110130244824543;-0.6933075;-0.544125;-0.4734;-0.4004;-0.2547;1.00095767442249;20000
"sigma_ySc";0.51335203;0.0879552749833628;0.3729974996732;0.4511;0.5024;0.5631;0.717309997282469;1.00096818961595;20000
"sigma_siteSc";0.647989865;0.0831548317843541;0.5028;0.5897;0.6418;0.6994;0.828;1.00538287274185;340
"year_dSc[1]";0.87826853;0.155680819607037;0.5793;0.7713;0.87504999857151;0.9832;1.189;1.00192223309143;3300
"year_dSc[2]";1.39469158;0.1466746787219;1.118;1.294;1.391;1.493;1.689;1.00094845721458;20000
"year_dSc[3]";1.114364215;0.155749808854078;0.81169749984984;1.009;1.113;1.217;1.424;1.00215649160063;4100
"year_dSc[4]";2.01455985;0.139862462059668;1.747;1.918;2.011;2.104;2.3;1.00144112422348;5800
"year_dSc[5]";1.89442805;0.140565377865498;1.629;1.796;1.894;1.989;2.175;1.00108289447194;20000
"year_dSc[6]";0.5741308795;0.161472782659458;0.263194998146869;0.463174997975781;0.5706;0.6824;0.889622488910402;1.00129301458483;20000
"year_dSc[7]";0.60715567715;0.158885611353159;0.3035;0.5012;0.603649997929264;0.711549994730309;0.9351;1.00283108921322;19000
"year_dSc[8]";1.73639925;0.143558769169451;1.466;1.64;1.734;1.832;2.024;1.00424763109768;2700
"year_dSc[9]";0.254653725513;0.17012317863648;-0.07853325;0.1367;0.25395;0.3703;0.588605;1.00178931747851;2200
"year_dSc[10]";2.17330925;0.138607762120393;1.912;2.077;2.172;2.265;2.45002499502684;1.00282792166294;11000
"year_dSc[11]";2.7032999;0.13800288620105;2.44;2.609;2.699;2.793;2.988;1.00217564416793;2900
"year_dSc[12]";2.03518305;0.138960797521675;1.773;1.939;2.032;2.128;2.317;1.00289232845167;2300
"year_dSc[13]";2.41995585;0.138768613660238;2.157;2.325;2.417;2.512;2.69802499548386;1.00102642856306;19000
"year_dSc[14]";2.16004225;0.139383123611486;1.893;2.064;2.157;2.254;2.441;1.00194145201957;5400
"year_dSc[15]";1.90835855;0.142780152333903;1.632;1.812;1.907;2.003;2.199;1.00231246225575;2400
"year_dSc[16]";2.0220059;0.142470728785312;1.749;1.925;2.02;2.116;2.31;1.00230968634855;3500
"year_dSc[17]";2.2352553;0.138284969026076;1.965;2.141;2.23349994403403;2.326;2.516;1.00136284705642;4100
"year_dSc[18]";2.18823745;0.140718542320851;1.914;2.093;2.186;2.28;2.475;1.00200497353391;1500
"year_dSc[19]";2.53339755;0.136096556229863;2.274;2.441;2.531;2.623;2.81;1.00136994555829;5200
"year_dSc[20]";2.0125175;0.140654365294056;1.7429749930051;1.916;2.01;2.10224995541199;2.303;1.00105803187085;14000
"year_dSc[21]";2.27563935;0.13876358221149;2.01;2.182;2.274;2.366;2.556;1.00141055206504;13000
"year_dSc[22]";2.1207787;0.140118079419178;1.854;2.024;2.118;2.213;2.40102499492538;1.00126810645954;7300
"year_dSc[23]";2.3684198;0.13992388610475;2.104;2.273;2.36549994715705;2.46;2.654;1.00319446461616;20000
"year_dSc[24]";2.10897295;0.138270710773361;1.844;2.015;2.105;2.2;2.389;1.00198734517368;1400
"site_Sc[1]";-0.5346987647;0.183579039490999;-0.8993025;-0.657625;-0.5312;-0.409475;-0.181995;1.00320161271536;2200
"site_Sc[2]";-0.0097772902885;0.167905480163072;-0.341505;-0.1205;-0.008238;0.1015;0.3164;1.00223290027372;19000
"site_Sc[3]";0.611418510155;0.18518283435187;0.2497975;0.4887;0.60995;0.7356;0.9757025;1.00103824671343;17000
"site_Sc[4]";0.726447649;0.172131145139249;0.3883;0.61055;0.7269;0.8443;1.066;1.00247412427422;11000
"site_Sc[5]";0.411476751715;0.179964116193821;0.05936;0.288875;0.412;0.530125;0.768505;1.00140862521527;8900
"site_Sc[6]";0.298601216431;0.183806577921222;-0.06076;0.172875;0.2982;0.4239;0.6566;1.00280474339987;7600
"site_Sc[7]";-0.11892169176405;0.178552134375799;-0.4716;-0.2394;-0.1205;0.00334425;0.224419999999998;1.00313855325582;6600
"site_Sc[8]";-0.1106616648225;0.176678587651575;-0.458605;-0.2286;-0.11215;0.01143;0.229305;1.00163233173835;20000
"site_Sc[9]";0.20163662795;0.169343160566623;-0.1291;0.0874275;0.2013;0.3155;0.532405;1.00287092426693;13000
"site_Sc[10]";0.0102594207005;0.169433446132468;-0.3275;-0.103025;0.01013;0.1234;0.3454025;1.00188788712672;20000
"site_Sc[11]";0.7296100081;0.171706823232109;0.3943975;0.6142;0.7283;0.8457;1.063;1.00240522635907;4600
"site_Sc[12]";0.4403865444;0.197535452051286;0.0555925;0.3074;0.4391;0.573125;0.8303;1.00213217686501;3100
"site_Sc[13]";0.451440174375;0.186497589840634;0.08010625;0.3273;0.4511;0.5748;0.8199;1.00109477846308;15000
"site_Sc[14]";1.07575477;0.172924659942265;0.7372;0.9591;1.076;1.194;1.41;1.00359222233141;3600
"site_Sc[15]";0.5675950731;0.180658662812264;0.2133975;0.4461;0.5657;0.6882;0.9221025;1.00180096517697;5200
"site_Sc[16]";0.536917781195;0.172571492965558;0.200995;0.4196;0.5346;0.651525;0.8800025;1.00189728727418;8900
"site_Sc[17]";0.175136347276;0.181700727442127;-0.183405;0.05498;0.1747;0.2973;0.5329025;1.00218932889559;4600
"site_Sc[18]";0.424327733915;0.164498376994938;0.09654975;0.315175;0.4249;0.536925;0.7401;1.00248720308885;6100
"site_Sc[19]";0.5619140144;0.16534788655642;0.237295;0.4508;0.5618;0.674625;0.8862025;1.0026033450505;2000
"site_Sc[20]";0.25370341618;0.160772689611446;-0.06199;0.145375;0.2541;0.363125;0.5686;1.00264736015376;20000
"site_Sc[21]";0.427278422;0.158452848623382;0.1162;0.3222;0.4272;0.5325;0.7407025;1.00310713722796;1700
"site_Sc[22]";0.2127836451765;0.172083851886719;-0.1221;0.094985;0.2119;0.328;0.5491;1.00195420084909;4300
"site_Sc[23]";-0.3818008908405;0.172846759771752;-0.72021;-0.5001;-0.38215;-0.265;-0.0453145000000005;1.00193166837232;11000
"site_Sc[24]";-0.52459842285;0.174799147402555;-0.8720075;-0.643925;-0.5217;-0.408475;-0.1863;1.00111827674594;8800
"site_Sc[25]";-0.321222284633;0.168926472758483;-0.6553025;-0.4337;-0.3201;-0.2087;0.00668669999999933;1.00147031059681;2900
"site_Sc[26]";0.0215549358196;0.168459586340648;-0.3103075;-0.09164;0.02334;0.136425;0.345405;1.00168936141392;2200
"site_Sc[27]";0.31905912356;0.169554258321949;-0.01374675;0.2053;0.3171;0.433825;0.6533025;1.00235200951777;1300
"site_Sc[28]";0.018427459799;0.161398853577959;-0.3026;-0.0881975;0.020025;0.1265;0.3315;1.00334536398306;1800
"site_Sc[29]";0.4771672645;0.153857837758125;0.169;0.3744;0.477;0.5799;0.774807499999999;1.00474188678895;910
"site_Sc[30]";0.693950496055;0.167108226086543;0.3686;0.582275;0.692;0.8061;1.025;1.00133020570172;9500
"site_Sc[31]";0.6234937075;0.149503669608578;0.326892496642588;0.5221;0.6252;0.7263;0.9129;1.00450498429035;1000
"site_Sc[32]";0.1125126345927;0.164921657334782;-0.2142125;0.0014525;0.1139;0.223925;0.4333;1.00160298386987;12000
"site_Sc[33]";0.5177200641;0.153071401550586;0.2178925;0.4141;0.5182;0.6222;0.8142;1.00180401737787;20000
"site_Sc[34]";0.219062755383;0.158834077655117;-0.0950115;0.114675;0.2185;0.3249;0.529012499999999;1.00126719043068;5900
"site_Sc[35]";0.54985468295;0.154416969144814;0.2472975;0.4475;0.55215;0.653625;0.8506;1.00180782950318;4000
"site_Sc[36]";-0.04769783698825;0.172435037535992;-0.385705;-0.1631;-0.04801;0.06779;0.2904;1.00121819173078;5600
"site_Sc[37]";0.331433972418;0.151007314801912;0.02899525;0.2316;0.3325;0.432725;0.6229025;1.00342251827294;3100
"site_Sc[38]";-0.555374560845;0.17475913546452;-0.9075025;-0.6697;-0.5518;-0.436575;-0.2210975;1.00281075672628;810
"site_Sc[39]";-0.50422855055;0.174224499431601;-0.8531025;-0.6218;-0.5004;-0.3872;-0.1672;1.00140957646124;3300
"site_Sc[40]";-0.013029122312;0.161476116969554;-0.3313075;-0.1225;-0.009891;0.0974325;0.3016;1.00095232977944;20000
"site_Sc[41]";-0.040874275895;0.611151132169843;-1.33005;-0.4545;-0.03255;0.39685;1.081;1.00732874492722;300
"site_Sc[42]";0.026645838935;0.687802175429117;-1.187;-0.4539;-0.02614;0.4415;1.544;1.20926468597969;13
"site_Sc[43]";-0.64064052224;0.355970177801096;-1.351;-0.8636;-0.6427;-0.40845;0.07423;1.00477473102621;2600
"site_Sc[44]";-0.197893182467;0.350009030894428;-0.9098;-0.4273;-0.18765;0.03949;0.4549025;1.00289097881447;1100
"site_Sc[45]";-1.258715015;0.261423089603116;-1.787;-1.428;-1.25;-1.08;-0.7666;1.00208000968873;1300
"site_Sc[46]";-1.37087707;0.233969236594042;-1.838;-1.52725;-1.3705;-1.212;-0.9143;1.0028877715105;780
"site_Sc[47]";-0.231639758175;0.183345304735035;-0.5893025;-0.356;-0.23195;-0.1069;0.122405;1.00275905049866;1000
"site_Sc[48]";-1.693978045;0.278234113845846;-2.27905;-1.877;-1.684;-1.504;-1.183;1.0010995381989;9900
"site_Sc[49]";-1.33713505;0.260871437922693;-1.865;-1.51;-1.332;-1.16;-0.837172500000002;1.00207806573452;1300
"site_Sc[50]";-1.1154900665;0.310706923838409;-1.723;-1.326;-1.109;-0.9051;-0.5201;1.00174639449279;1900
"site_Sc[51]";-0.239945851728;0.26288529238297;-0.7698;-0.4132;-0.2326;-0.060275;0.262507499999999;1.00122407899945;5400
"site_Sc[52]";-0.48105548968;0.393772646211867;-1.279;-0.743125;-0.4784;-0.2184;0.2926;1.00304017504662;20000
"site_Sc[53]";0.1262764703115;0.461267698745434;-0.815;-0.1744;0.1527;0.4507;0.9744;1.0031920386045;20000
"d_Sc_pred[1,1]";3.105241605;1.39740884025788;1.18297498969207;2.096;2.842;3.821;6.563;1.00117984185041;6500
