"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"int_width","-0.140266475673326","0.204450065171812","-0.5662","-0.2717","-0.1336","-0.0011905","0.2445175","1.0023306235091","1100"
"width_coef","0.420524638554217","0.100314604530584","0.2268","0.3539","0.419649997021327","0.4862","0.621517498838609","1.00132592600677","3700"
"rate_lcpu","0.515244822327284","0.26833146998042","0.211182496581046","0.344724997280704","0.454949997252445","0.6117","1.166","1.00363721696089","550"
"sigma_dSc","0.367929838340705","0.0489095943418888","0.2736","0.3341","0.368","0.4005","0.4638","1.00306599516253","700"
"int_ydSc","1.81673188958365","0.152189230597449","1.517","1.715","1.818","1.92","2.114","1.00198343454513","1400"
"log_flow","-0.413265201235321","0.100362138063919","-0.6124175","-0.479","-0.4125","-0.3474","-0.216665","1.0009233864131","13000"
"sigma_ySc","0.507280486502974","0.0787128182213336","0.379582498098022","0.4516","0.4983","0.5524","0.6908349958208","1.00097114341237","13000"
"sigma_siteSc","0.659986739362513","0.0843204067198323","0.516029977610059","0.6004","0.6534","0.711674998682624","0.846534996589385","1.00095564875639","13000"
"eps_ydSc[1]","-0.301938343377307","0.207003720604367","-0.7104175","-0.4391","-0.30185","-0.1639","0.105205","1.00093407577509","13000"
"eps_ydSc[2]","0.27190388561156","0.214743122270472","-0.1525175","0.128025","0.2728","0.4146","0.687435","1.00092546717546","13000"
"eps_ydSc[3]","-0.37283466730212","0.165915654547241","-0.6992","-0.482375","-0.3714","-0.2625","-0.04893825","1.00125208563745","4600"
"eps_ydSc[4]","-0.0451332281398505","0.136146026592707","-0.314935","-0.1345","-0.044405","0.0458375","0.2201175","1.00092231492294","13000"
"eps_ydSc[5]","-0.468665294418179","0.179208853705817","-0.821135","-0.5858","-0.4687","-0.3498","-0.1203825","1.00092410838743","13000"
"eps_ydSc[6]","-0.838044113161507","0.177829291739936","-1.192","-0.955675","-0.8359","-0.717","-0.493925000000001","1.00112613825619","7400"
"eps_ydSc[7]","-0.362068748230898","0.245414247516449","-0.8506","-0.521575","-0.3613","-0.198525","0.120474999999999","1.00092245389055","13000"
"eps_ydSc[8]","0.265721201968888","0.152618332852791","-0.03265125","0.1658","0.2659","0.3683","0.5680175","1.00093941603053","13000"
"eps_ydSc[9]","-1.41883070001525","0.165841760718228","-1.752","-1.529","-1.419","-1.308","-1.101825","1.00184411301517","1600"
"eps_ydSc[10]","0.245760178069239","0.126349534855621","-0.001415275","0.1607","0.2458","0.3309","0.4941","1.00096590173711","13000"
"eps_ydSc[11]","0.0117793801181943","0.235168905999021","-0.4551175","-0.1429","0.013625","0.1659","0.4714175","1.00095140191874","13000"
"eps_ydSc[12]","0.501453971785878","0.144350226194185","0.2198125","0.406125","0.5007","0.5972","0.7868","1.00094044093096","13000"
"eps_ydSc[13]","0.0754703119389889","0.17218533202213","-0.2662175","-0.0369375","0.07657","0.1883","0.4128","1.00092227472824","13000"
"eps_ydSc[14]","0.0998916573504652","0.135314105007765","-0.169235","0.0102225","0.1019","0.1891","0.3668","1.00092337604934","13000"
"eps_ydSc[15]","0.546677135732805","0.170544893008446","0.2111825","0.432125","0.54925","0.659475","0.8782875","1.00092676095967","13000"
"eps_ydSc[16]","0.419410046820192","0.136101923786212","0.1536","0.3277","0.4182","0.5102","0.6880175","1.00097781433549","13000"
"eps_ydSc[17]","0.233087444512734","0.129913641160401","-0.026441","0.1472","0.233","0.3187","0.4868175","1.00096949228168","13000"
"eps_ydSc[18]","-0.0357212312537746","0.154193729019826","-0.3411525","-0.137","-0.037205","0.0668075","0.269905","1.00094343507133","13000"
