"","2.5%","50%","97.5%"
"1984",177,200,239
"1985",119,137,169
"1986",328,373,441
"1987",215,237,272
"1988",134,156,189
"1989",278,325,396
"1990",275,311,375
"1991",199,230,277
"1992",240,264,306
"1993",483,517,563
"1994",350,387,439
"1995",220,238,266
"1996",206,215,229
"1997",117,123,134
"1998",163,173,189
"1999",168,180,200.024999999998
"2000",151,167,194
"2001",202,217,239
"2002",398,426,465
"2003",86,95,110
"2004",97,107,124
"2005",92,103,122
"2006",69,78,94
"2007",74,83,98
"2008",79,89,105
"2009",64,71,83
"2010",160,172,192
"2011",80,87,100
"2012",71,93,128
"2013",115,130,154
"2014",102,125,162
"2015",76,94,122
"2016",66,81,106
"2017",83,97,120
"2018",53,64,82
"2019",117,136,168
"2020",93,119,158
"2021",50,65,92
"2022",41,49,63
