"","2.5%","50%","97.5%"
"1984",NA,NA,NA
"1985",NA,NA,NA
"1986",NA,NA,NA
"1987",NA,NA,NA
"1988",NA,NA,NA
"1989",NA,NA,NA
"1990",NA,NA,NA
"1991",NA,NA,NA
"1992",NA,NA,NA
"1993",NA,NA,NA
"1994",415,561,795
"1995",789,873,988
"1996",708,780,876
"1997",475,530,606
"1998",556,603,666
"1999",317,362,423
"2000",293,354,458
"2001",321,358,407
"2002",551,614,700
"2003",249,285,337
"2004",1108,1181,1269
"2005",537,578,633
"2006",928,998,1089
"2007",518,573,648
"2008",334,377,437
"2009",342,389,454
"2010",775,835,914
"2011",558,608,675
"2012",467,540,640
"2013",650,717,806
"2014",752,825,922
"2015",711,778,865
"2016",648,709,790
"2017",1042,1098,1170
"2018",393,455,545
"2019",244,280,334
"2020",428,489,581
"2021",402,445,503
"2022",227,251,287
