"","Bresle","Oir","Nivelle","Scorff"
"1984",105,264,203,NA
"1985",132,299,139,NA
"1986",208,165,377,NA
"1987",176,185,239,NA
"1988",143,240,157,NA
"1989",221,240,325,NA
"1990",133,99,311,NA
"1991",196,53,232,NA
"1992",182,55,269,NA
"1993",76,130,519,NA
"1994",65,69,391,561
"1995",118,147,239,873
"1996",63,258,215,781
"1997",45,73,123,530
"1998",240,172,174,604
"1999",90,235,180,363
"2000",71,259,168,354
"2001",111,193,218,358
"2002",142,323,428,614
"2003",62,215,96,286
"2004",99,398,109,1181
"2005",313,165,105,579
"2006",227,212,80,999
"2007",94,210,84,574
"2008",142,114,93,378
"2009",132,159,75,389
"2010",182,508,174,835
"2011",171,277,89,609
"2012",165,251,89,541
"2013",207,324,129,717
"2014",129,273,126,825
"2015",200,165,94,778
"2016",258,301,83,709
"2017",383,253,99,1098
"2018",220,220,64,455
"2019",177,195,137,280
"2020",288,177,120,490
"2021",168,112,67,445
"2022",84,27,53,251
