"","Year of return","1SW","MSW","Total"
"1984",1984,63,43,106
"1985",1985,101,31,133
"1986",1986,174,35,210
"1987",1987,133,40,176
"1988",1988,99,31,130
"1989",1989,172,42,218
"1990",1990,71,49,123
"1991",1991,160,28,190
"1992",1992,136,43,180
"1993",1993,47,27,78
"1994",1994,45,17,64
"1995",1995,116,7,123
"1996",1996,36,27,64
"1997",1997,31,13,46
"1998",1998,228,14,243
"1999",1999,30,56,89
"2000",2000,60,12,75
"2001",2001,91,17,114
"2002",2002,107,32,142
"2003",2003,28,21,53
"2004",2004,83,14,99
"2005",2005,259,49,311
"2006",2006,107,120,230
"2007",2007,75,21,97
"2008",2008,130,12,145
"2009",2009,86,49,136
"2010",2010,137,45,184
"2011",2011,136,35,172
"2012",2012,130,35,168
"2013",2013,134,75,214
"2014",2014,75,55,131
"2015",2015,153,49,203
"2016",2016,232,28,262
"2017",2017,317,63,383
"2018",2018,138,80,221
"2019",2019,140,31,176
"2020",2020,241,44,289
"2021",2021,133,35,171
