"","Year of return","1SW","MSW","Total"
"1984",1984,176,25,200
"1985",1985,86,51,138
"1986",1986,326,45,372
"1987",1987,188,50,238
"1988",1988,120,36,156
"1989",1989,254,69,323
"1990",1990,268,43,311
"1991",1991,168,63,230
"1992",1992,208,56,264
"1993",1993,469,46,516
"1994",1994,336,49,386
"1995",1995,182,56,238
"1996",1996,168,46,214
"1997",1997,111,12,123
"1998",1998,159,13,174
"1999",1999,144,35,180
"2000",2000,136,33,168
"2001",2001,188,28,218
"2002",2002,388,37,426
"2003",2003,31,64,95
"2004",2004,89,18,107
"2005",2005,89,14,104
"2006",2006,47,31,78
"2007",2007,65,17,84
"2008",2008,62,28,89
"2009",2009,50,21,71
"2010",2010,146,25,172
"2011",2011,43,44,87
"2012",2012,75,17,93
"2013",2013,86,43,130
"2014",2014,76,50,126
"2015",2015,56,39,94
"2016",2016,60,23,84
"2017",2017,82,17,99
"2018",2018,37,30,66
"2019",2019,120,18,139
"2020",2020,67,49,118
"2021",2021,40,19,60
