"","Year of return","1SW","MSW","Total"
"1984",1984,NA,NA,NA
"1985",1985,NA,NA,NA
"1986",1986,NA,NA,NA
"1987",1987,NA,NA,NA
"1988",1988,NA,NA,NA
"1989",1989,NA,NA,NA
"1990",1990,NA,NA,NA
"1991",1991,NA,NA,NA
"1992",1992,NA,NA,NA
"1993",1993,NA,NA,NA
"1994",1994,489,82,574
"1995",1995,755,94,851
"1996",1996,684,87,774
"1997",1997,448,72,523
"1998",1998,560,28,590
"1999",1999,256,101,358
"2000",2000,313,47,361
"2001",2001,310,40,350
"2002",2002,583,23,606
"2003",2003,227,58,286
"2004",2004,1119,64,1184
"2005",2005,455,130,586
"2006",2006,890,107,999
"2007",2007,486,94,580
"2008",2008,286,89,377
"2009",2009,264,118,383
"2010",2010,766,65,834
"2011",2011,386,214,601
"2012",2012,384,147,535
"2013",2013,605,105,711
"2014",2014,688,137,826
"2015",2015,599,176,777
"2016",2016,620,86,708
"2017",2017,951,143,1094
"2018",2018,300,150,453
"2019",2019,230,46,276
